dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000387,0.400000,0.000200,0.019964,0.998218,49.910921,6.282219
0.020000,0.000334,0.400000,0.000252,0.002615,-0.867455,-93.283655,6.282350
0.020000,0.000230,0.400000,0.000357,0.005233,0.130867,49.916061,6.282611
0.020000,0.000072,0.400000,0.000514,0.007854,0.131072,0.010287,6.283004
0.020000,0.001953,0.400000,0.002394,0.094019,4.308235,208.858158,0.000343
0.020000,0.005683,0.400003,0.006124,0.186485,4.623336,15.755041,0.000999
0.020000,0.010159,0.400009,0.010600,0.223810,1.866243,-137.854658,0.001789
0.020000,0.015380,0.400021,0.015821,0.261043,1.861624,-0.230967,0.002712
0.020000,0.021345,0.400040,0.021786,0.298262,1.860979,-0.032245,0.003770
0.020000,0.028054,0.400069,0.028495,0.335451,1.859423,-0.077774,0.004964
0.020000,0.035507,0.400111,0.035948,0.372663,1.860587,0.058161,0.006297
0.020000,0.043702,0.400169,0.044144,0.409788,1.856276,-0.215527,0.007768
0.020000,0.052640,0.400246,0.053082,0.446893,1.855233,-0.052175,0.009381
0.020000,0.062318,0.400345,0.062761,0.483933,1.852004,-0.161448,0.011136
0.020000,0.072737,0.400471,0.073181,0.520998,1.853272,0.063440,0.013037
0.020000,0.083896,0.400628,0.084340,0.557963,1.848214,-0.252907,0.015086
0.020000,0.095791,0.400820,0.096237,0.594873,1.845515,-0.134982,0.017284
0.020000,0.108425,0.401054,0.108873,0.631786,1.845634,0.005948,0.019636
0.020000,0.121794,0.401333,0.122245,0.668576,1.839530,-0.305199,0.022143
0.020000,0.135896,0.401664,0.136351,0.705313,1.836843,-0.134330,0.024809
0.020000,0.150731,0.402053,0.151191,0.741990,1.833842,-0.150030,0.027638
0.020000,0.166296,0.402507,0.166763,0.778623,1.831635,-0.110362,0.030633
0.020000,0.182591,0.403032,0.183066,0.815138,1.825788,-0.292383,0.033797
0.020000,0.199612,0.403636,0.200097,0.851574,1.821780,-0.200369,0.037136
0.020000,0.217357,0.404326,0.217856,0.887930,1.817814,-0.198291,0.040654
0.020000,0.235825,0.405111,0.236340,0.924225,1.814731,-0.154158,0.044355
0.020000,0.255011,0.406000,0.255547,0.960337,1.805634,-0.454881,0.048244
0.020000,0.274914,0.407002,0.275476,0.996436,1.804918,-0.035762,0.052327
0.020000,0.295531,0.408126,0.296123,1.032369,1.796648,-0.413532,0.056609
0.020000,0.316858,0.409382,0.317487,1.068183,1.790724,-0.296163,0.061096
0.020000,0.338891,0.410782,0.339564,1.103869,1.784273,-0.322575,0.065795
0.020000,0.361626,0.412336,0.362353,1.139437,1.778390,-0.294128,0.070713
0.020000,0.385061,0.414056,0.385850,1.174872,1.771768,-0.331131,0.075856
0.020000,0.409189,0.415955,0.410053,1.210121,1.762478,-0.464462,0.081232
0.020000,0.434005,0.418046,0.434957,1.245218,1.754849,-0.381490,0.086849
0.020000,0.459505,0.420341,0.460561,1.280171,1.747612,-0.361823,0.092715
