dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000387,-0.400000,0.000200,0.019964,0.998218,49.910921,6.282219
0.020000,-0.000334,-0.400000,0.000252,0.002615,-0.867455,-93.283655,6.282350
0.020000,-0.000230,-0.400000,0.000357,0.005233,0.130867,49.916061,6.282611
0.020000,-0.000072,-0.400000,0.000514,0.007854,0.131072,0.010287,6.283004
0.020000,0.002227,-0.400000,0.002813,0.114989,5.356746,261.283689,0.000343
0.020000,0.006482,-0.399997,0.007068,0.212734,4.887238,-23.475422,0.000999
0.020000,0.011590,-0.399990,0.012176,0.255385,2.132573,-137.733212,0.001789
0.020000,0.017549,-0.399976,0.018135,0.297971,2.129312,-0.163088,0.002712
0.020000,0.024361,-0.399954,0.024947,0.340590,2.130931,0.080990,0.003770
0.020000,0.032025,-0.399921,0.032612,0.383227,2.131866,0.046722,0.004964
0.020000,0.040544,-0.399873,0.041131,0.425953,2.136270,0.220183,0.006297
0.020000,0.049917,-0.399807,0.050504,0.468649,2.134788,-0.074071,0.007768
0.020000,0.060145,-0.399719,0.060732,0.511397,2.137419,0.131528,0.009381
0.020000,0.071227,-0.399605,0.071815,0.554156,2.137938,0.025945,0.011136
0.020000,0.083167,-0.399461,0.083755,0.597036,2.144009,0.303591,0.013037
0.020000,0.095964,-0.399281,0.096553,0.639901,2.143248,-0.038052,0.015086
0.020000,0.109618,-0.399060,0.110210,0.682813,2.145613,0.118241,0.017284
0.020000,0.124133,-0.398792,0.124727,0.725846,2.151659,0.302316,0.019636
0.020000,0.139507,-0.398471,0.140104,0.768867,2.151018,-0.032087,0.022143
0.020000,0.155741,-0.398090,0.156343,0.811962,2.154774,0.187827,0.024809
0.020000,0.172838,-0.397641,0.173446,0.855135,2.158667,0.194615,0.027638
0.020000,0.190799,-0.397118,0.191414,0.898415,2.163993,0.266328,0.030633
0.020000,0.209624,-0.396511,0.210249,0.941728,2.165658,0.083244,0.033797
0.020000,0.229314,-0.395813,0.229951,0.985129,2.170004,0.217277,0.037136
0.020000,0.249871,-0.395013,0.250524,1.028628,2.174985,0.249081,0.040654
0.020000,0.271297,-0.394102,0.271969,1.072260,2.181609,0.331184,0.044355
0.020000,0.293591,-0.393069,0.294287,1.115898,2.181893,0.014225,0.048244
0.020000,0.316756,-0.391903,0.317482,1.159750,2.192585,0.534575,0.052327
0.020000,0.340794,-0.390593,0.341555,1.203654,2.195202,0.130874,0.056609
0.020000,0.365704,-0.389125,0.366509,1.247680,2.201283,0.304053,0.061096
0.020000,0.391489,-0.387487,0.392345,1.291830,2.207523,0.311984,0.065795
0.020000,0.418149,-0.385665,0.419068,1.336135,2.215245,0.386092,0.070713
0.020000,0.445687,-0.383643,0.446680,1.380594,2.222960,0.385777,0.075856
0.020000,0.474102,-0.381407,0.475183,1.425163,2.228436,0.273781,0.081232
0.020000,0.503397,-0.378939,0.504581,1.469899,2.236797,0.418046,0.086849
