dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.710722,3.545488,0.000199,0.019875,0.993765,49.688256,0.001731
0.020000,1.710888,3.545488,0.000365,0.008317,-0.577925,-78.584527,0.001316
0.020000,1.711221,3.545489,0.000698,0.016628,0.415581,49.675308,0.000484
0.020000,1.713178,3.545488,0.002655,0.097884,4.062802,182.361071,6.282423
0.020000,1.717023,3.545482,0.006500,0.192232,4.717384,32.729089,6.280761
0.020000,1.721829,3.545465,0.011306,0.240278,2.402287,-115.754855,6.278685
0.020000,1.727594,3.545432,0.017072,0.288301,2.401153,-0.056701,6.276195
0.020000,1.734321,3.545375,0.023798,0.336327,2.401322,0.008478,6.273291
0.020000,1.742007,3.545287,0.031484,0.384314,2.399321,-0.100054,6.269976
0.020000,1.750651,3.545156,0.040130,0.432290,2.398816,-0.025241,6.266249
0.020000,1.760254,3.544974,0.049735,0.480232,2.397100,-0.085822,6.262113
0.020000,1.770814,3.544727,0.060297,0.528122,2.394515,-0.129274,6.257569
0.020000,1.782329,3.544404,0.071817,0.575997,2.393717,-0.039867,6.252620
0.020000,1.794798,3.543989,0.084293,0.623796,2.389963,-0.187691,6.247268
0.020000,1.808219,3.543468,0.097724,0.671527,2.386548,-0.170785,6.241517
0.020000,1.822588,3.542825,0.112108,0.719209,2.384118,-0.121510,6.235370
0.020000,1.837904,3.542042,0.127443,0.766765,2.377782,-0.316775,6.228831
0.020000,1.854161,3.541101,0.143728,0.814239,2.373717,-0.203252,6.221907
0.020000,1.871357,3.539982,0.160960,0.861599,2.367968,-0.287452,6.214603
0.020000,1.889486,3.538667,0.179136,0.908810,2.360590,-0.368885,6.206925
0.020000,1.908541,3.537134,0.198253,0.955858,2.352364,-0.411317,6.198883
0.020000,1.928517,3.535361,0.218308,1.002737,2.343938,-0.421284,6.190484
0.020000,1.949407,3.533327,0.239296,1.049422,2.334282,-0.482812,6.181738
0.020000,1.971202,3.531008,0.261214,1.095878,2.322778,-0.575197,6.172658
0.020000,1.993892,3.528382,0.284056,1.142075,2.309864,-0.645713,6.163254
0.020000,2.017467,3.525425,0.307816,1.188010,2.296752,-0.655564,6.153542
0.020000,2.041916,3.522112,0.332489,1.233640,2.281474,-0.763907,6.143535
0.020000,2.067228,3.518421,0.358067,1.278943,2.265188,-0.814312,6.133251
0.020000,2.093387,3.514328,0.384545,1.323873,2.246461,-0.936376,6.122708
0.020000,2.120380,3.509809,0.411913,1.368428,2.227799,-0.933077,6.111925
0.020000,2.148191,3.504841,0.440165,1.412556,2.206378,-1.071028,6.100922
0.020000,2.176803,3.499401,0.469289,1.456239,2.184157,-1.111080,6.089723
0.020000,2.206199,3.493468,0.499278,1.499449,2.160497,-1.183011,6.078351
0.020000,2.236360,3.487020,0.530121,1.542150,2.135054,-1.272146,6.066832
0.020000,2.267268,3.480038,0.561808,1.584322,2.108576,-1.323875,6.055191
0.020000,2.298901,3.472501,0.594326,1.625937,2.080748,-1.391428,6.043458
0.020000,2.331240,3.464394,0.627666,1.666974,2.051860,-1.444384,6.031660
0.020000,2.364263,3.455699,0.661814,1.707408,2.021694,-1.508310,6.019827
0.020000,2.397948,3.446401,0.696759,1.747224,1.990788,-1.545284,6.007992
0.020000,2.432273,3.436489,0.732487,1.786402,1.958909,-1.593940,5.996185
0.020000,2.467217,3.425951,0.768985,1.824928,1.926330,-1.628980,5.984439
0.020000,2.502758,3.414778,0.806241,1.862793,1.893245,-1.654259,5.972788
0.020000,2.538874,3.402962,0.844241,1.899987,1.859690,-1.677733,5.961264
0.020000,2.575544,3.390498,0.882971,1.936504,1.825846,-1.692211,5.949902
0.020000,2.612747,3.377384,0.922418,1.972340,1.791805,-1.702012,5.938736
0.020000,2.650463,3.363618,0.962568,2.007494,1.757680,-1.706279,5.927799
0.020000,2.688674,3.349203,1.003407,2.041966,1.723599,-1.704062,5.917127
0.020000,2.727360,3.334140,1.044922,2.075759,1.689689,-1.695479,5.906753
0.020000,2.766506,3.318437,1.087100,2.108876,1.655839,-1.692520,5.896710
0.020000,2.806094,3.302101,1.129926,2.141323,1.622322,-1.675841,5.887032
0.020000,2.846111,3.285143,1.173388,2.173102,1.588983,-1.666933,5.877753
0.020000,2.886543,3.267574,1.217472,2.204222,1.555974,-1.650464,5.868906
0.020000,2.927380,3.249410,1.262166,2.234685,1.523151,-1.641119,5.860523
0.020000,2.968609,3.230668,1.307456,2.264492,1.490355,-1.639826,5.852637
0.020000,3.010224,3.211367,1.353329,2.293651,1.457982,-1.618660,5.845281
0.020000,3.052217,3.191528,1.399772,2.322157,1.425263,-1.635916,5.838487
0.020000,3.094582,3.171175,1.446772,2.350009,1.392598,-1.633278,5.832288
0.020000,3.137315,3.150335,1.494316,2.377202,1.359686,-1.645581,5.826717
0.020000,3.180414,3.129036,1.542391,2.403731,1.326413,-1.663685,5.821807
0.020000,3.223878,3.107310,1.590983,2.429577,1.292316,-1.704805,5.817592
0.020000,3.267707,3.085189,1.640077,2.454729,1.257596,-1.736012,5.814108
0.020000,3.311902,3.062711,1.689660,2.479164,1.221778,-1.790886,5.811389
0.020000,3.356467,3.039915,1.739718,2.502860,1.184789,-1.849495,5.809473
0.020000,3.401406,3.016843,1.790233,2.525786,1.146270,-1.925944,5.808398
0.020000,3.446724,2.993540,1.841191,2.547907,1.106056,-2.010677,5.808204
0.020000,3.492426,2.970054,1.892575,2.569185,1.063893,-2.108176,5.808935
0.020000,3.538520,2.946438,1.944367,2.589575,1.019540,-2.217615,5.810633
0.020000,3.585012,2.922746,1.996547,2.609033,0.972886,-2.332716,5.813346
0.020000,3.631911,2.899039,2.049097,2.627504,0.923562,-2.466201,5.817123
0.020000,3.679223,2.875379,2.101996,2.644936,0.871585,-2.598852,5.822015
0.020000,3.726958,2.851834,2.155222,2.661273,0.816865,-2.736018,5.828078
0.020000,3.775122,2.828475,2.208751,2.676460,0.759351,-2.875681,5.835370
0.020000,3.823722,2.805379,2.262560,2.690445,0.699229,-3.006109,5.843949
0.020000,3.872764,2.782626,2.316623,2.703178,0.636653,-3.128799,5.853879
0.020000,3.922255,2.760302,2.370916,2.714626,0.572392,-3.213033,5.865225
0.020000,3.972197,2.738496,2.425411,2.724758,0.506624,-3.288406,5.878051
0.020000,4.022594,2.717303,2.480083,2.733579,0.441037,-3.279334,5.892423
0.020000,4.073446,2.696821,2.534905,2.741110,0.376520,-3.225878,5.908406
0.020000,4.124753,2.677151,2.589853,2.747408,0.314924,-3.079792,5.926061
0.020000,4.176513,2.658399,2.644905,2.752583,0.258748,-2.808820,5.945444
0.020000,4.228722,2.640673,2.700040,2.756796,0.210673,-2.403713,5.966604
0.020000,4.281375,2.624083,2.755246,2.760278,0.174064,-1.830447,5.989577
0.020000,4.334469,2.608738,2.810513,2.763333,0.152785,-1.063971,6.014385
0.020000,4.387998,2.594748,2.865840,2.766352,0.150928,-0.092847,6.041028
0.020000,4.441960,2.582223,2.921236,2.769815,0.173148,1.111010,6.069485
0.020000,4.496353,2.571268,2.976722,2.774286,0.223557,2.520432,6.099705
0.020000,4.551182,2.561989,3.032330,2.780406,0.306014,4.122868,6.131607
0.020000,4.606452,2.554484,3.088107,2.788865,0.422909,5.844739,6.165072
0.020000,4.662175,2.548849,3.144115,2.800386,0.576089,7.658998,6.199948
0.020000,4.718369,2.545177,3.200428,2.815674,0.764378,9.414429,6.236047
0.020000,4.775053,2.543553,3.257136,2.835358,0.984201,10.991160,6.273148
0.020000,4.832250,2.544061,3.314335,2.859971,1.230660,12.322982,0.027821
0.020000,4.892471,2.546888,3.374623,3.014392,7.721041,324.519057,0.053567
0.020000,5.025101,2.543858,3.507286,6.633184,180.939586,8660.927247,6.187186
0.020000,5.142112,2.525554,3.625721,5.921733,-35.572527,-10825.605670,6.071937
0.020000,5.245182,2.498549,3.732270,5.327432,-29.715053,292.873721,5.984543
0.020000,5.337251,2.466711,3.829688,4.870908,-22.826178,344.443716,5.918029
0.020000,5.420860,2.432196,3.920142,4.522708,-17.410001,270.808850,5.866957
0.020000,5.497925,2.396231,4.005185,4.252159,-13.527455,194.127297,5.827435
0.020000,5.569833,2.359557,4.085906,4.036017,-10.807102,136.017679,5.796739
0.020000,5.637593,2.322649,4.163065,3.857979,-8.901938,95.258185,5.772961
0.020000,5.701941,2.285832,4.237201,3.706801,-7.558883,67.152753,5.754756
0.020000,5.763426,2.249348,4.308696,3.574751,-6.602511,47.818582,5.741167
0.020000,5.822461,2.213386,4.377822,3.456287,-5.923191,33.966009,5.731515
0.020000,5.879360,2.178107,4.444771,3.347436,-5.442519,24.033627,5.725318
0.020000,5.934362,2.143651,4.509674,3.245174,-5.113144,16.468720,5.722247
0.020000,5.987649,2.110149,4.572617,3.147138,-4.901763,10.569082,5.722090
0.020000,6.039354,2.077732,4.633644,3.051373,-4.788262,5.675024,5.724734
0.020000,6.089572,2.046527,4.692768,2.956169,-4.760220,1.402105,5.730150
0.020000,6.138359,2.016671,4.749966,2.859901,-4.813402,-2.659125,5.738392
