dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.711414,3.145489,0.000199,0.019875,0.993765,49.688256,0.001731
0.020000,1.711414,3.145489,0.000994,0.059626,1.987530,49.688256,0.001316
0.020000,1.711414,3.145489,0.002584,0.099377,1.987530,0.000000,0.000484
0.020000,1.712873,3.145488,0.004969,0.139127,1.987530,0.000000,6.282423
0.020000,1.716053,3.145483,0.008149,0.178878,1.987530,0.000000,6.280761
0.020000,1.720028,3.145469,0.012124,0.218628,1.987530,0.000000,6.278685
0.020000,1.724798,3.145442,0.016894,0.258379,1.987530,-0.000000,6.276195
0.020000,1.730363,3.145395,0.022459,0.298130,1.987530,0.000000,6.273291
0.020000,1.736723,3.145321,0.028819,0.337880,1.987530,-0.000000,6.269976
0.020000,1.743877,3.145214,0.035974,0.377631,1.987530,0.000000,6.266249
0.020000,1.751826,3.145062,0.043924,0.417381,1.987530,-0.000000,6.262113
0.020000,1.760568,3.144858,0.052670,0.457132,1.987530,0.000000,6.257569
0.020000,1.770105,3.144590,0.062210,0.496883,1.987530,-0.000000,6.252620
0.020000,1.780434,3.144247,0.072545,0.536633,1.987530,0.000000,6.247268
0.020000,1.791556,3.143815,0.083675,0.576384,1.987530,0.000000,6.241517
0.020000,1.803469,3.143282,0.095600,0.616134,1.987530,-0.000000,6.235370
0.020000,1.816173,3.142632,0.108320,0.655885,1.987530,0.000000,6.228831
0.020000,1.829665,3.141851,0.121836,0.695636,1.987530,0.000000,6.221907
0.020000,1.843946,3.140923,0.136146,0.735386,1.987530,0.000000,6.214603
0.020000,1.859011,3.139830,0.151251,0.775137,1.987530,-0.000000,6.206925
0.020000,1.874860,3.138555,0.167151,0.814887,1.987530,0.000000,6.198883
0.020000,1.891490,3.137079,0.183847,0.854638,1.987530,0.000000,6.190484
0.020000,1.908898,3.135384,0.201337,0.894389,1.987530,-0.000000,6.181738
0.020000,1.927080,3.133449,0.219622,0.934139,1.987530,0.000000,6.172658
0.020000,1.946034,3.131255,0.238702,0.973890,1.987530,-0.000000,6.163254
0.020000,1.965755,3.128781,0.258578,1.013640,1.987530,0.000000,6.153542
0.020000,1.986238,3.126006,0.279248,1.053391,1.987530,0.000000,6.143535
0.020000,2.007478,3.122909,0.300713,1.093142,1.987530,0.000000,6.133251
0.020000,2.029471,3.119468,0.322974,1.132892,1.987530,-0.000000,6.122708
0.020000,2.052210,3.115661,0.346029,1.172643,1.987530,0.000000,6.111925
0.020000,2.075688,3.111467,0.369879,1.212393,1.987530,0.000000,6.100922
0.020000,2.099900,3.106864,0.394525,1.252144,1.987530,0.000000,6.089723
0.020000,2.124837,3.101830,0.419965,1.291895,1.987530,-0.000000,6.078351
0.020000,2.150493,3.096346,0.446201,1.331645,1.987530,0.000000,6.066832
0.020000,2.176858,3.090389,0.473231,1.371396,1.987530,0.000000,6.055191
0.020000,2.203926,3.083940,0.501056,1.411146,1.987530,-0.000000,6.043458
0.020000,2.231687,3.076980,0.529677,1.450897,1.987530,0.000000,6.031660
0.020000,2.260133,3.069490,0.559092,1.490648,1.987530,0.000000,6.019827
0.020000,2.289254,3.061452,0.589303,1.530398,1.987530,0.000000,6.007992
0.020000,2.319042,3.052850,0.620308,1.570149,1.987530,-0.000000,5.996185
0.020000,2.349488,3.043669,0.652109,1.609899,1.987530,0.000000,5.984439
0.020000,2.380583,3.033893,0.684704,1.649650,1.987530,0.000000,5.972788
0.020000,2.412318,3.023510,0.718095,1.689401,1.987530,-0.000000,5.961264
0.020000,2.444685,3.012509,0.752280,1.729151,1.987530,0.000000,5.949902
0.020000,2.477676,3.000879,0.787261,1.768902,1.987530,0.000000,5.938736
0.020000,2.511282,2.988613,0.823036,1.808653,1.987530,0.000000,5.927799
0.020000,2.545499,2.975704,0.859607,1.848403,1.987530,0.000000,5.917127
0.020000,2.580318,2.962148,0.896972,1.888154,1.987530,-0.000000,5.906753
0.020000,2.615735,2.947940,0.935133,1.927904,1.987530,0.000000,5.896710
0.020000,2.651745,2.933080,0.974089,1.967655,1.987530,-0.000000,5.887032
0.020000,2.688345,2.917570,1.013839,2.007406,1.987530,0.000000,5.877753
0.020000,2.725531,2.901412,1.054385,2.047156,1.987530,-0.000000,5.868906
0.020000,2.763304,2.884610,1.095725,2.086907,1.987530,-0.000000,5.860523
0.020000,2.801662,2.867173,1.137861,2.126657,1.987530,0.000000,5.852637
0.020000,2.840607,2.849110,1.180792,2.166408,1.987530,-0.000000,5.845281
0.020000,2.880143,2.830432,1.224517,2.206159,1.987530,0.000000,5.838487
0.020000,2.920272,2.811153,1.269038,2.245909,1.987530,0.000000,5.832288
0.020000,2.961003,2.791289,1.314354,2.285660,1.987530,0.000000,5.826717
0.020000,3.002341,2.770860,1.360464,2.325410,1.987530,0.000000,5.821807
0.020000,3.044297,2.749888,1.407370,2.365161,1.987530,0.000000,5.817592
0.020000,3.086881,2.728395,1.455071,2.404912,1.987530,0.000000,5.814108
0.020000,3.130107,2.706410,1.503567,2.444662,1.987530,0.000000,5.811389
0.020000,3.173990,2.683963,1.552857,2.484413,1.987530,0.000000,5.809473
0.020000,3.218546,2.661087,1.602943,2.524163,1.987530,-0.000000,5.808398
0.020000,3.263795,2.637819,1.653824,2.563914,1.987530,0.000000,5.808204
0.020000,3.309757,2.614200,1.705500,2.603665,1.987530,-0.000000,5.808935
0.020000,3.356456,2.590274,1.757970,2.643415,1.987530,-0.000000,5.810633
0.020000,3.403915,2.566090,1.811236,2.683166,1.987530,0.000000,5.813346
0.020000,3.452162,2.541701,1.865297,2.722916,1.987530,-0.000000,5.817123
0.020000,3.501225,2.517166,1.920153,2.762667,1.987530,0.000000,5.822015
0.020000,3.551134,2.492548,1.975804,2.802418,1.987530,0.000000,5.828078
0.020000,3.601923,2.467917,2.032250,2.842168,1.987530,0.000000,5.835370
0.020000,3.653622,2.443348,2.089491,2.881919,1.987530,0.000000,5.843949
0.020000,3.706268,2.418924,2.147526,2.921669,1.987530,0.000000,5.853879
0.020000,3.759896,2.394735,2.206357,2.961420,1.987530,0.000000,5.865225
0.020000,3.814540,2.370877,2.265983,3.001171,1.987530,0.000000,5.878051
0.020000,3.870236,2.347456,2.326404,3.040921,1.987530,0.000000,5.892423
0.020000,3.927019,2.324585,2.387620,3.080672,1.987530,-0.000000,5.908406
0.020000,3.984920,2.302389,2.449631,3.120422,1.987530,0.000000,5.926061
0.020000,4.043970,2.280997,2.512437,3.160173,1.987530,-0.000000,5.945444
0.020000,4.104194,2.260551,2.576038,3.199924,1.987530,0.000000,5.966604
0.020000,4.165612,2.241200,2.640434,3.239674,1.987530,0.000000,5.989577
0.020000,4.228239,2.223101,2.705625,3.279425,1.987530,-0.000000,6.014385
0.020000,4.292079,2.206419,2.771611,3.319175,1.987530,0.000000,6.041028
0.020000,4.357129,2.191321,2.838392,3.358926,1.987530,0.000000,6.069485
0.020000,4.423372,2.177983,2.905968,3.398677,1.987530,0.000000,6.099705
0.020000,4.490782,2.166575,2.974339,3.438427,1.987530,0.000000,6.131607
0.020000,4.559316,2.157271,3.043505,3.478178,1.987530,0.000000,6.165072
0.020000,4.628919,2.150234,3.113466,3.517929,1.987530,0.000000,6.199948
0.020000,4.699520,2.145621,3.184222,3.557679,1.987530,0.000000,6.236047
0.020000,4.771038,2.143573,3.255773,3.597430,1.987530,0.000000,6.273148
0.020000,4.843377,2.144215,3.328119,3.637180,1.987530,-0.000000,0.027821
0.020000,4.913888,2.147462,3.401062,3.657056,0.993765,-49.688256,0.053567
0.020000,4.986760,2.145700,3.474023,3.639030,-0.901288,-94.752657,6.187186
0.020000,5.058240,2.134446,3.546424,3.601129,-1.895053,-49.688256,6.071937
0.020000,5.127493,2.116255,3.618049,3.561378,-1.987530,-4.623855,5.984543
0.020000,5.194412,2.093084,3.688879,3.521628,-1.987530,0.000000,5.918029
0.020000,5.259135,2.066347,3.758914,3.481877,-1.987530,0.000000,5.866957
0.020000,5.321870,2.037059,3.828154,3.442126,-1.987530,0.000000,5.827435
0.020000,5.382838,2.005958,3.896599,3.402376,-1.987530,0.000000,5.796739
0.020000,5.442243,1.973595,3.964249,3.362625,-1.987530,0.000000,5.772961
0.020000,5.500270,1.940392,4.031104,3.322875,-1.987530,0.000000,5.754756
0.020000,5.557080,1.906680,4.097164,3.283124,-1.987530,-0.000000,5.741167
0.020000,5.612817,1.872726,4.162429,3.243373,-1.987530,0.000000,5.731515
0.020000,5.667609,1.838752,4.226899,3.203623,-1.987530,-0.000000,5.725318
0.020000,5.721570,1.804948,4.290574,3.163872,-1.987530,-0.000000,5.722247
0.020000,5.774803,1.771480,4.353454,3.124122,-1.987530,0.000000,5.722090
0.020000,5.827405,1.738501,4.415539,3.084371,-1.987530,-0.000000,5.724734
0.020000,5.879463,1.706154,4.476829,3.044620,-1.987530,0.000000,5.730150
0.020000,5.931063,1.674577,4.537324,3.004870,-1.987530,0.000000,5.738392
0.020000,5.982284,1.643911,4.597024,2.965119,-1.987530,0.000000,5.749593
0.020000,6.033206,1.614301,4.655929,2.925369,-1.987530,0.000000,5.763976
0.020000,6.083903,1.585903,4.714039,2.885618,-1.987530,0.000000,5.781859
0.020000,6.134452,1.558890,4.771353,2.845867,-1.987530,-0.000000,5.803677
0.020000,6.184924,1.533456,4.827873,2.806117,-1.987530,0.000000,5.830008
0.020000,6.235389,1.509828,4.883598,2.766366,-1.987530,0.000000,5.861600
0.020000,6.285909,1.488272,4.938528,2.726616,-1.987530,-0.000000,5.899410
0.020000,6.336533,1.469108,4.992663,2.686865,-1.987530,0.000000,5.944653
0.020000,6.387287,1.452720,5.046003,2.647114,-1.987530,-0.000000,5.998823
0.020000,6.438150,1.439571,5.098547,2.607364,-1.987530,0.000000,6.063692
0.020000,6.489032,1.430208,5.150297,2.567613,-1.987530,0.000000,6.141190
0.020000,6.539727,1.425253,5.201252,2.527862,-1.987530,0.000000,6.233067
0.020000,6.589863,1.425355,5.251412,2.488112,-1.987530,0.000000,0.057018
0.020000,6.638863,1.431087,5.300776,2.448361,-1.987530,0.000000,0.178359
0.020000,6.685967,1.442783,5.349346,2.408611,-1.987530,0.000000,0.309932
0.020000,6.730347,1.460369,5.397121,2.368860,-1.987530,0.000000,0.444934
0.020000,6.771303,1.483316,5.444100,2.329109,-1.987530,0.000000,0.575509
0.020000,6.808426,1.510744,5.490285,2.289359,-1.987530,-0.000000,0.695300
0.020000,6.841646,1.541643,5.535675,2.249608,-1.987530,0.000000,0.800929
0.020000,6.871154,1.575059,5.580269,2.209858,-1.987530,0.000000,0.891792
0.020000,6.897285,1.610196,5.624069,2.170107,-1.987530,-0.000000,0.969009
0.020000,6.920425,1.646435,5.667074,2.130356,-1.987530,0.000000,1.034413
0.020000,6.940953,1.683309,5.709283,2.090606,-1.987530,-0.000000,1.089932
0.020000,6.959212,1.720477,5.750698,2.050855,-1.987530,0.000000,1.137312
0.020000,6.975503,1.757684,5.791318,2.011105,-1.987530,0.000000,1.178021
0.020000,6.990081,1.794742,5.831142,1.971354,-1.987530,0.000000,1.213253
0.020000,7.003166,1.831511,5.870172,1.931603,-1.987530,-0.000000,1.243970
0.020000,7.014943,1.867886,5.908406,1.891853,-1.987530,0.000000,1.270938
0.020000,7.025567,1.903784,5.945846,1.852102,-1.987530,0.000000,1.294770
0.020000,7.035174,1.939146,5.982490,1.812352,-1.987530,-0.000000,1.315962
0.020000,7.043877,1.973922,6.018340,1.772601,-1.987530,0.000000,1.334911
0.020000,7.051775,2.008075,6.053394,1.732850,-1.987530,0.000000,1.351941
0.020000,7.058952,2.041573,6.087654,1.693100,-1.987530,0.000000,1.367318
0.020000,7.065484,2.074396,6.121118,1.653349,-1.987530,0.000000,1.381261
0.020000,7.071432,2.106518,6.153788,1.613599,-1.987530,0.000000,1.393952
0.020000,7.076856,2.137929,6.185662,1.573848,-1.987530,-0.000000,1.405544
0.020000,7.081804,2.168610,6.216742,1.534097,-1.987530,0.000000,1.416164
0.020000,7.086321,2.198558,6.247026,1.494347,-1.987530,0.000000,1.425925
0.020000,7.090446,2.227756,6.276516,1.454596,-1.987530,0.000000,1.434915
0.020000,7.094214,2.256202,6.305210,1.414846,-1.987530,0.000000,1.443217
0.020000,7.097656,2.283886,6.333109,1.375095,-1.987530,0.000000,1.450897
0.020000,7.100802,2.310810,6.360214,1.335344,-1.987530,0.000000,1.458018
0.020000,7.103675,2.336960,6.386523,1.295594,-1.987530,-0.000000,1.464629
0.020000,7.106301,2.362339,6.412038,1.255843,-1.987530,0.000000,1.470776
0.020000,7.108698,2.386943,6.436757,1.216093,-1.987530,0.000000,1.476499
0.020000,7.110887,2.410765,6.460681,1.176342,-1.987530,0.000000,1.481832
0.020000,7.112884,2.433809,6.483811,1.136591,-1.987530,0.000000,1.486807
0.020000,7.114706,2.456067,6.506145,1.096841,-1.987530,0.000000,1.491450
0.020000,7.116366,2.477543,6.527684,1.057090,-1.987530,0.000000,1.495787
0.020000,7.117879,2.498232,6.548429,1.017340,-1.987530,-0.000000,1.499839
0.020000,7.119255,2.518133,6.568378,0.977589,-1.987530,0.000000,1.503625
0.020000,7.120507,2.537247,6.587532,0.937838,-1.987530,0.000000,1.507162
0.020000,7.121644,2.555573,6.605891,0.898088,-1.987530,-0.000000,1.510467
0.020000,7.122676,2.573105,6.623456,0.858337,-1.987530,0.000000,1.513553
0.020000,7.123611,2.589848,6.640225,0.818586,-1.987530,0.000000,1.516432
0.020000,7.124458,2.605801,6.656199,0.778836,-1.987530,-0.000000,1.519117
0.020000,7.125223,2.620962,6.671378,0.739085,-1.987530,0.000000,1.521617
