dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.712107,2.745489,0.000199,0.019875,0.993765,49.688256,0.001731
0.020000,1.711941,2.745489,0.000365,0.008317,-0.577925,-78.584527,0.001316
0.020000,1.711608,2.745489,0.000698,0.016628,0.415581,49.675308,0.000484
0.020000,1.712568,2.745488,0.001658,0.048017,1.569409,57.691393,6.282423
0.020000,1.715084,2.745484,0.004173,0.125770,3.887667,115.912935,6.280761
0.020000,1.718228,2.745473,0.007318,0.157231,1.573039,-115.731425,6.278685
0.020000,1.722002,2.745452,0.011092,0.188696,1.573274,0.011752,6.276195
0.020000,1.726406,2.745414,0.015496,0.220189,1.574657,0.069142,6.273291
0.020000,1.731439,2.745356,0.020529,0.251689,1.574967,0.015529,6.269976
0.020000,1.737103,2.745271,0.026194,0.283222,1.576669,0.085094,6.266249
0.020000,1.743398,2.745151,0.032490,0.314783,1.578061,0.069603,6.262113
0.020000,1.750323,2.744990,0.039417,0.346372,1.579447,0.069301,6.257569
0.020000,1.757881,2.744777,0.046978,0.378025,1.582659,0.160602,6.252620
0.020000,1.766071,2.744505,0.055172,0.409719,1.584682,0.101143,6.247268
0.020000,1.774893,2.744162,0.064001,0.441475,1.587780,0.154919,6.241517
0.020000,1.784350,2.743739,0.073468,0.473325,1.592494,0.235698,6.235370
0.020000,1.794442,2.743223,0.083573,0.505239,1.595723,0.161449,6.228831
0.020000,1.805169,2.742602,0.094318,0.537272,1.601654,0.296535,6.221907
0.020000,1.816534,2.741863,0.105707,0.569428,1.607812,0.307900,6.214603
0.020000,1.828537,2.740992,0.117741,0.601716,1.614360,0.327377,6.206925
0.020000,1.841179,2.739975,0.130424,0.634154,1.621940,0.379039,6.198883
0.020000,1.854462,2.738796,0.143760,0.666777,1.631117,0.458802,6.190484
0.020000,1.868389,2.737440,0.157752,0.699603,1.641333,0.510816,6.181738
0.020000,1.882959,2.735890,0.172405,0.732649,1.652297,0.548219,6.172658
0.020000,1.898176,2.734129,0.187723,0.765937,1.664410,0.605655,6.163254
0.020000,1.914042,2.732138,0.203714,0.799509,1.678590,0.709007,6.153542
0.020000,1.930559,2.729901,0.220381,0.833381,1.693608,0.750861,6.143535
0.020000,1.947729,2.727397,0.237733,0.867588,1.710313,0.835270,6.133251
0.020000,1.965555,2.724607,0.255776,0.902143,1.727788,0.873768,6.122708
0.020000,1.984040,2.721513,0.274518,0.937099,1.747772,0.999162,6.111925
0.020000,2.003186,2.718092,0.293967,0.972466,1.768349,1.028859,6.100922
0.020000,2.022997,2.714326,0.314133,1.008283,1.790839,1.124532,6.089723
0.020000,2.043475,2.710192,0.335024,1.044578,1.814768,1.196409,6.078351
0.020000,2.064625,2.705671,0.356652,1.081374,1.839820,1.252636,6.066832
0.020000,2.086449,2.700740,0.379026,1.118703,1.866419,1.329928,6.055191
0.020000,2.108951,2.695379,0.402158,1.156587,1.894218,1.389935,6.043458
0.020000,2.132134,2.689567,0.426059,1.195053,1.923271,1.452672,6.031660
0.020000,2.156003,2.683282,0.450741,1.234117,1.953246,1.498759,6.019827
0.020000,2.180561,2.676503,0.476217,1.273804,1.984334,1.554374,6.007992
0.020000,2.205812,2.669211,0.502500,1.314127,2.016153,1.590969,5.996185
0.020000,2.231759,2.661386,0.529602,1.355101,2.048676,1.626151,5.984439
0.020000,2.258408,2.653008,0.557536,1.396737,2.081816,1.656998,5.972788
0.020000,2.285762,2.644058,0.586317,1.439044,2.115368,1.677589,5.961264
0.020000,2.313826,2.634519,0.615958,1.482029,2.149238,1.693526,5.949902
0.020000,2.342604,2.624375,0.646472,1.525695,2.183282,1.702168,5.938736
0.020000,2.372102,2.613609,0.677873,1.570042,2.217382,1.705008,5.927799
0.020000,2.402324,2.602206,0.710174,1.615072,2.251461,1.703977,5.917127
0.020000,2.433276,2.590155,0.743390,1.660781,2.285472,1.700504,5.906753
0.020000,2.464964,2.577443,0.777533,1.707165,2.319204,1.686633,5.896710
0.020000,2.497396,2.564060,0.812617,1.754221,2.352798,1.679671,5.887032
0.020000,2.530578,2.549997,0.848656,1.801943,2.386086,1.664400,5.877753
0.020000,2.564519,2.535249,0.885663,1.850327,2.419194,1.655395,5.868906
0.020000,2.599228,2.519810,0.923650,1.899368,2.452050,1.642809,5.860523
0.020000,2.634714,2.503679,0.962631,1.949060,2.484605,1.627748,5.852637
0.020000,2.670990,2.486853,1.002620,1.999407,2.517337,1.636612,5.845281
0.020000,2.708068,2.469335,1.043628,2.050402,2.549766,1.621431,5.838487
0.020000,2.745963,2.451130,1.085669,2.102051,2.582458,1.634611,5.832288
0.020000,2.784690,2.432243,1.128756,2.154359,2.615423,1.648253,5.826717
0.020000,2.824268,2.412684,1.172903,2.207337,2.648868,1.672243,5.821807
0.020000,2.864716,2.392465,1.218122,2.260991,2.682717,1.692453,5.817592
0.020000,2.906056,2.371601,1.264429,2.315342,2.717532,1.740741,5.814108
0.020000,2.948312,2.350109,1.311837,2.370408,2.753286,1.787706,5.811389
0.020000,2.991513,2.328011,1.360362,2.426214,2.790345,1.852943,5.809473
0.020000,3.035687,2.305331,1.410017,2.482791,2.828823,1.923899,5.808398
0.020000,3.080867,2.282098,1.460821,2.540171,2.869023,2.010042,5.808204
0.020000,3.127089,2.258346,1.512789,2.598395,2.911162,2.106936,5.808935
0.020000,3.174392,2.234110,1.565939,2.657504,2.955452,2.214475,5.810633
0.020000,3.222818,2.209433,1.620290,2.717548,3.002200,2.337401,5.813346
0.020000,3.272413,2.184363,1.675861,2.778575,3.051392,2.459634,5.817123
0.020000,3.323226,2.158953,1.732674,2.840642,3.103323,2.596544,5.822015
0.020000,3.375311,2.133262,1.790750,2.903803,3.158053,2.736489,5.828078
0.020000,3.428724,2.107359,1.850112,2.968113,3.215505,2.872611,5.835370
0.020000,3.483523,2.081318,1.910785,3.033625,3.275619,3.005674,5.843949
0.020000,3.539773,2.055222,1.972793,3.100385,3.337980,3.118056,5.853879
0.020000,3.597537,2.029167,2.036161,3.168434,3.402462,3.224126,5.865225
0.020000,3.656883,2.003257,2.100917,3.237789,3.467731,3.263445,5.878051
0.020000,3.717879,1.977608,2.167086,3.308460,3.533559,3.291397,5.892423
0.020000,3.780592,1.952350,2.234695,3.380420,3.597996,3.221819,5.908406
0.020000,3.845088,1.927626,2.303767,3.453606,3.659280,3.064238,5.926061
0.020000,3.911428,1.903595,2.374325,3.527913,3.715385,2.805244,5.945444
0.020000,3.979666,1.880429,2.446389,3.603180,3.763343,2.397877,5.966604
0.020000,4.049849,1.858318,2.519972,3.679177,3.799831,1.824424,5.989577
0.020000,4.122008,1.837465,2.595084,3.755598,3.821048,1.060832,6.014385
0.020000,4.196160,1.818090,2.671725,3.832050,3.822592,0.077218,6.041028
0.020000,4.272297,1.800420,2.749886,3.908058,3.800396,-1.109785,6.069485
0.020000,4.350391,1.784697,2.829547,3.983056,3.749938,-2.522947,6.099705
0.020000,4.430383,1.771162,2.910676,4.056408,3.667604,-4.116681,6.131607
0.020000,4.512181,1.760058,2.993224,4.127411,3.550148,-5.872814,6.165072
0.020000,4.595662,1.751619,3.077131,4.195358,3.397341,-7.640329,6.199948
0.020000,4.680672,1.746066,3.162322,4.259548,3.209519,-9.391106,6.236047
0.020000,4.767023,1.743594,3.248709,4.319333,2.989248,-11.013553,6.273148
0.020000,4.854504,1.744370,3.336193,4.374197,2.743194,-12.302708,0.027821
0.020000,4.935304,1.748036,3.417076,4.044181,-16.500816,-962.200466,0.053567
0.020000,4.948419,1.747542,3.430200,0.656181,-169.400014,-7644.959904,6.187186
0.020000,4.974368,1.743338,3.456487,1.314377,32.909794,10115.490406,6.071937
0.020000,5.009804,1.733960,3.493143,1.832796,25.920944,-349.442515,5.984543
0.020000,5.051574,1.719457,3.537360,2.210828,18.901649,-350.964780,5.918029
0.020000,5.097409,1.700499,3.586961,2.480043,13.460722,-272.046337,5.866957
0.020000,5.145816,1.677886,3.640388,2.671385,9.567100,-194.681067,5.827435
0.020000,5.195843,1.652358,3.696553,2.808220,6.841743,-136.267850,5.796739
0.020000,5.246894,1.624541,3.754690,2.906885,4.933264,-95.423980,5.772961
0.020000,5.298598,1.594952,3.814263,2.978606,3.586023,-67.362062,5.754756
0.020000,5.350733,1.564012,3.874887,3.031213,2.630382,-47.782016,5.741167
0.020000,5.403172,1.532066,3.936291,3.070189,1.948782,-34.080014,5.731515
0.020000,5.455857,1.499398,3.998282,3.099561,1.468623,-24.007929,5.725318
0.020000,5.508777,1.466246,4.060728,3.122330,1.138460,-16.508182,5.722247
0.020000,5.561957,1.432811,4.123546,3.140866,0.926770,-10.584484,5.722090
0.020000,5.615455,1.399271,4.186688,3.157121,0.812739,-5.701535,5.724734
0.020000,5.669354,1.365780,4.250145,3.172822,0.785081,-1.382936,5.730150
0.020000,5.723766,1.332483,4.313936,3.189575,0.837618,2.626882,5.738392
0.020000,5.778833,1.299517,4.378116,3.209014,0.971984,6.718298,5.749593
0.020000,5.834728,1.267016,4.442774,3.232872,1.192864,11.043972,5.763976
0.020000,5.891668,1.235125,4.508036,3.263113,1.512057,15.959679,5.781859
0.020000,5.949915,1.204001,4.574077,3.302056,1.947150,21.754620,5.803677
0.020000,6.009794,1.173832,4.641127,3.352502,2.522290,28.757014,5.830008
0.020000,6.071706,1.144851,4.709486,3.417957,3.272776,37.524292,5.861600
0.020000,6.136139,1.117369,4.779536,3.502477,4.226020,47.662191,5.899410
0.020000,6.203692,1.091811,4.851762,3.611279,5.440082,60.703103,5.944653
0.020000,6.275068,1.068783,4.926761,3.749967,6.934377,74.714763,5.998823
0.020000,6.351056,1.049167,5.005239,3.923914,8.697363,88.149326,6.063692
0.020000,6.432425,1.034233,5.087967,4.136413,10.624957,96.379683,6.141190
0.020000,6.519688,1.025755,5.175642,4.383710,12.364871,86.995712,6.233067
0.020000,6.612657,1.026005,5.268611,4.648482,13.238588,43.685833,0.057018
0.020000,6.709829,1.037433,5.366452,4.892039,12.177826,-53.038116,0.178359
0.020000,6.807965,1.061841,5.467578,5.056289,8.212495,-198.266535,0.309932
0.020000,6.902507,1.099314,5.569276,5.084899,1.430508,-339.099351,0.444934
0.020000,6.989007,1.147750,5.668414,4.956924,-6.398764,-391.463622,0.575509
0.020000,7.064672,1.203600,5.762459,4.702213,-12.735521,-316.837846,0.695300
0.020000,7.128848,1.263227,5.850059,4.380038,-16.108771,-168.662495,0.800929
0.020000,7.182433,1.323851,5.930971,4.045604,-16.721683,-30.645605,0.891792
0.020000,7.227015,1.383749,6.005639,3.733387,-15.610861,55.541122,0.969009
0.020000,7.264250,1.442023,6.074793,3.457682,-13.785234,91.281355,1.034413
0.020000,7.295591,1.498291,6.139201,3.220407,-11.863777,96.072855,1.089932
0.020000,7.322215,1.552463,6.199561,3.018023,-10.119200,87.228821,1.137312
0.020000,7.345043,1.604582,6.256461,2.844967,-8.652776,73.321231,1.178021
0.020000,7.364785,1.654752,6.310375,2.695731,-7.461825,59.547522,1.213253
0.020000,7.381993,1.703095,6.361690,2.565729,-6.500075,48.087502,1.243970
0.020000,7.397094,1.749732,6.410711,2.451060,-5.733430,38.332253,1.270938
0.020000,7.410426,1.794770,6.457680,2.348447,-5.130664,30.138307,1.294770
0.020000,7.422256,1.838312,6.502801,2.256036,-4.620542,25.506084,1.315962
0.020000,7.432800,1.880441,6.546229,2.171410,-4.231316,19.461338,1.334911
0.020000,7.442233,1.921230,6.588095,2.093284,-3.906281,16.251751,1.351941
0.020000,7.450700,1.960743,6.628504,2.020483,-3.640089,13.309600,1.367318
0.020000,7.458320,1.999036,6.667548,1.952194,-3.414431,11.282882,1.381261
0.020000,7.465194,2.036149,6.705292,1.887216,-3.248877,8.277698,1.393952
0.020000,7.471407,2.072128,6.741805,1.825603,-3.080671,8.410298,1.405544
0.020000,7.477031,2.107003,6.777130,1.766262,-2.967057,5.680677,1.416164
0.020000,7.482131,2.140811,6.811321,1.709545,-2.835859,6.559922,1.425925
0.020000,7.486759,2.173571,6.844405,1.654233,-2.765572,3.514332,1.434915
0.020000,7.490963,2.205309,6.876420,1.600755,-2.673889,4.584146,1.443217
0.020000,7.494784,2.236041,6.907390,1.548462,-2.614656,2.961649,1.450897
0.020000,7.498261,2.265794,6.937345,1.497775,-2.534393,4.013175,1.458018
0.020000,7.501423,2.294573,6.966297,1.447585,-2.509460,1.246641,1.464629
0.020000,7.504301,2.322397,6.994270,1.398646,-2.446947,3.125667,1.470776
0.020000,7.506921,2.349280,7.021280,1.350498,-2.407400,1.977344,1.476499
0.020000,7.509305,2.375226,7.047335,1.302785,-2.385662,1.086914,1.481832
0.020000,7.511474,2.400252,7.072455,1.255983,-2.340106,2.277760,1.486807
0.020000,7.513447,2.424362,7.096646,1.209533,-2.322497,0.880477,1.491450
0.020000,7.515242,2.447568,7.119920,1.163731,-2.290094,1.620146,1.495787
0.020000,7.516872,2.469873,7.142285,1.118253,-2.273913,0.809038,1.499839
0.020000,7.518353,2.491285,7.163749,1.073151,-2.255074,0.941974,1.503625
0.020000,7.519697,2.511811,7.184318,1.028477,-2.233715,1.067933,1.507162
0.020000,7.520916,2.531456,7.204001,0.984151,-2.216284,0.871559,1.510467
0.020000,7.522021,2.550220,7.222797,0.939818,-2.216649,-0.018272,1.513553
0.020000,7.523020,2.568113,7.240719,0.896059,-2.187986,1.433169,1.516432
0.020000,7.523924,2.585138,7.257768,0.852475,-2.179183,0.440135,1.519117
0.020000,7.524739,2.601298,7.273948,0.808992,-2.174145,0.251907,1.521617
0.020000,7.525474,2.616593,7.289261,0.765659,-2.166666,0.373967,1.523941
0.020000,7.526135,2.631029,7.303712,0.722522,-2.156840,0.491271,1.526097
0.020000,7.526729,2.644608,7.317304,0.679627,-2.144768,0.603618,1.528095
0.020000,7.527261,2.657337,7.330044,0.637016,-2.130551,0.710862,1.529940
0.020000,7.527736,2.669208,7.341924,0.593987,-2.151453,-1.045118,1.531637
0.020000,7.528160,2.680233,7.352958,0.551675,-2.115559,1.794681,1.533193
0.020000,7.528535,2.690409,7.363140,0.509131,-2.127246,-0.584328,1.534614
0.020000,7.528867,2.699736,7.372473,0.466653,-2.123899,0.167349,1.535902
0.020000,7.529158,2.708219,7.380961,0.424398,-2.112716,0.559166,1.537062
0.020000,7.529412,2.715858,7.388605,0.382195,-2.110159,0.127839,1.538098
0.020000,7.529631,2.722657,7.395407,0.340084,-2.105556,0.230158,1.539013
0.020000,7.529818,2.728609,7.401362,0.297780,-2.115214,-0.482931,1.539808
0.020000,7.529975,2.733722,7.406477,0.255741,-2.101925,0.664461,1.540487
0.020000,7.530103,2.737997,7.410755,0.213869,-2.093624,0.415066,1.541053
0.020000,7.530204,2.741428,7.414187,0.171637,-2.111563,-0.896963,1.541504
0.020000,7.530280,2.744022,7.416783,0.129754,-2.094179,0.869199,1.541845
0.020000,7.530331,2.745779,7.418540,0.087874,-2.093971,0.010385,1.542075
0.020000,7.530357,2.746697,7.419458,0.045913,-2.098055,-0.204167,1.542195
0.020000,7.530365,2.746966,7.419727,0.013436,-1.623882,23.708650,1.542230
0.020000,7.530365,2.746985,7.419747,0.000977,-0.622911,50.048559,1.542233
0.020000,7.530365,2.746985,7.419747,0.000000,-0.048874,28.701847,1.542233
