dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.196693,14.710444,0.000648,0.064799,3.239953,161.997630,0.510075
0.020000,4.196294,14.710220,0.001106,0.022883,-2.095806,-266.787912,0.510481
0.020000,4.195497,14.709774,0.002020,0.045698,1.140730,161.826781,0.511294
0.020000,4.199622,14.712092,0.006752,0.236622,9.546242,420.275580,0.512509
0.020000,4.207071,14.716292,0.015303,0.427565,9.547129,0.044364,0.514124
0.020000,4.216383,14.721563,0.026003,0.535002,5.371849,-208.763991,0.516133
0.020000,4.227556,14.727921,0.038859,0.642778,5.388795,0.847321,0.518529
0.020000,4.240592,14.735383,0.053879,0.751009,5.411560,1.138204,0.521306
0.020000,4.255489,14.743970,0.071074,0.859729,5.435988,1.221433,0.524453
0.020000,4.272247,14.753704,0.090454,0.969025,5.464835,1.442318,0.527962
0.020000,4.290867,14.764611,0.112034,1.078973,5.497380,1.627285,0.531820
0.020000,4.311348,14.776719,0.135826,1.189629,5.532786,1.770271,0.536015
0.020000,4.333690,14.790059,0.161847,1.301061,5.571602,1.940796,0.540532
0.020000,4.357892,14.804664,0.190114,1.413341,5.614003,2.120075,0.545358
0.020000,4.383953,14.820568,0.220646,1.526565,5.661209,2.360304,0.550474
0.020000,4.411874,14.837809,0.253460,1.640737,5.708618,2.370450,0.555865
0.020000,4.441654,14.856425,0.288580,1.755978,5.762022,2.670183,0.561511
0.020000,4.473291,14.876457,0.326026,1.872311,5.816666,2.732210,0.567393
0.020000,4.506786,14.897948,0.365822,1.989806,5.874758,2.904598,0.573490
0.020000,4.542137,14.920940,0.407993,2.108520,5.935685,3.046366,0.579780
0.020000,4.579344,14.945478,0.452563,2.228505,5.999258,3.178625,0.586242
0.020000,4.618406,14.971608,0.499559,2.349812,6.065316,3.302920,0.592851
0.020000,4.659323,14.999375,0.549008,2.472443,6.131575,3.312948,0.599583
0.020000,4.702094,15.028826,0.600938,2.596510,6.203348,3.588636,0.606414
0.020000,4.746719,15.060008,0.655378,2.721995,6.274241,3.544665,0.613318
0.020000,4.793198,15.092967,0.712357,2.848950,6.347755,3.675701,0.620269
0.020000,4.841532,15.127750,0.771905,2.977399,6.422446,3.734544,0.627241
0.020000,4.891722,15.164401,0.834052,3.107369,6.498493,3.802332,0.634206
0.020000,4.943768,15.202966,0.898830,3.238862,6.574667,3.808704,0.641137
0.020000,4.997674,15.243488,0.966268,3.371907,6.652231,3.878196,0.648007
0.020000,5.053443,15.286010,1.036398,3.506541,6.731702,3.973583,0.654787
0.020000,5.111081,15.330572,1.109253,3.642742,6.810083,3.919010,0.661450
0.020000,5.170592,15.377213,1.184864,3.780539,6.889816,3.986652,0.667967
0.020000,5.231985,15.425970,1.263263,3.919929,6.969515,3.984957,0.674310
0.020000,5.295271,15.476876,1.344481,4.060938,7.050429,4.045697,0.680451
0.020000,5.360459,15.529964,1.428552,4.203525,7.129363,3.946723,0.686360
0.020000,5.427566,15.585262,1.515507,4.347769,7.212214,4.142525,0.692009
0.020000,5.496609,15.642797,1.605380,4.493641,7.293611,4.069850,0.697369
0.020000,5.567608,15.702590,1.698204,4.641170,7.376454,4.142177,0.702410
0.020000,5.640588,15.764661,1.794010,4.790341,7.458555,4.105032,0.707103
0.020000,5.715578,15.829027,1.892835,4.941238,7.544816,4.313061,0.711417
0.020000,5.792610,15.895697,1.994712,5.093849,7.630564,4.287413,0.715323
0.020000,5.871724,15.964680,2.099677,5.248227,7.718902,4.416894,0.718787
0.020000,5.952961,16.035979,2.207765,5.404418,7.809549,4.532324,0.721779
0.020000,6.036374,16.109591,2.319015,5.562479,7.903062,4.675667,0.724265
0.020000,6.122017,16.185512,2.433464,5.722480,8.000053,4.849551,0.726211
0.020000,6.209956,16.263728,2.551154,5.884509,8.101413,5.068009,0.727580
0.020000,6.300262,16.344222,2.672128,6.048658,8.207442,5.301458,0.728335
0.020000,6.393017,16.426970,2.796428,6.215044,8.319338,5.594771,0.728435
0.020000,6.488312,16.511941,2.924104,6.383796,8.437588,5.912508,0.727840
0.020000,6.586247,16.599098,3.055206,6.555067,8.563557,6.298458,0.726504
0.020000,6.686935,16.688394,3.189786,6.729024,8.697854,6.714836,0.724379
0.020000,6.790502,16.779774,3.327904,6.905868,8.842186,7.216588,0.721414
0.020000,6.897087,16.873171,3.469620,7.085808,8.996986,7.740016,0.717555
0.020000,7.006843,16.968510,3.615002,7.269092,9.164202,8.360819,0.712740
0.020000,7.119939,17.065700,3.764121,7.455980,9.344404,9.010065,0.706907
0.020000,7.236563,17.164636,3.917057,7.646788,9.540414,9.800502,0.699986
0.020000,7.356918,17.265195,4.073893,7.841809,9.751029,10.530748,0.691902
0.020000,7.481230,17.367236,4.234721,8.041403,9.979731,11.435109,0.682574
0.020000,7.609741,17.470594,4.399639,8.245919,10.225763,12.301634,0.671913
0.020000,7.742720,17.575076,4.568754,8.455740,10.491057,13.264673,0.659826
0.020000,7.880452,17.680461,4.742179,8.671218,10.773930,14.143636,0.646211
0.020000,8.023247,17.786489,4.920034,8.892765,11.077349,15.170943,0.630962
0.020000,8.171435,17.892859,5.102447,9.120627,11.393105,15.787805,0.613966
0.020000,8.324685,17.998763,5.288729,9.314122,9.674741,-85.918184,0.595190
0.020000,8.481370,18.102568,5.476680,9.397538,4.170783,-275.197875,0.574796
0.020000,8.639825,18.202801,5.664176,9.374828,-1.135498,-265.314084,0.553011
0.020000,8.799496,18.298860,5.850514,9.316900,-2.896398,-88.044981,0.529951
0.020000,8.960329,18.390504,6.035626,9.255568,-3.066580,-8.509095,0.505677
0.020000,9.122238,18.477506,6.219429,9.190173,-3.269771,-10.159559,0.480261
0.020000,9.285096,18.559644,6.401827,9.119920,-3.512667,-12.144817,0.453790
0.020000,9.448735,18.636717,6.582709,9.044087,-3.791609,-13.947075,0.426363
0.020000,9.612953,18.708543,6.761948,8.961927,-4.108018,-15.820450,0.398093
0.020000,9.777506,18.774971,6.939403,8.872751,-4.458824,-17.540328,0.369103
0.020000,9.942118,18.835878,7.114922,8.775954,-4.839827,-19.050124,0.339530
0.020000,10.106484,18.891185,7.288343,8.671056,-5.244897,-20.253511,0.309518
0.020000,10.270274,18.940852,7.459498,8.557742,-5.665698,-21.040056,0.279216
0.020000,10.433144,18.984884,7.628215,8.435881,-6.093048,-21.367486,0.248777
0.020000,10.594743,19.023335,7.794325,8.305502,-6.518973,-21.296249,0.218352
0.020000,10.754718,19.056305,7.957662,8.166844,-6.932908,-20.696776,0.188088
0.020000,10.912727,19.083936,8.118070,8.020368,-7.323795,-19.544322,0.158125
0.020000,11.068445,19.106415,8.275401,7.866573,-7.689712,-18.295870,0.128591
0.020000,11.221566,19.123962,8.429525,7.706170,-8.020178,-16.523267,0.099606
0.020000,11.371817,19.136830,8.580326,7.540073,-8.304859,-14.234088,0.071270
0.020000,11.518952,19.145294,8.727704,7.368909,-8.558176,-12.665852,0.043673
0.020000,11.662759,19.149647,8.871577,7.193627,-8.764085,-10.295453,0.016888
0.020000,11.803063,19.150196,9.011882,7.015240,-8.919392,-7.765319,6.274157
0.020000,11.939716,19.147251,9.148566,6.834245,-9.049726,-6.516691,6.249154
0.020000,12.072606,19.141122,9.281598,6.651558,-9.134369,-4.232165,6.225095
0.020000,12.201651,19.132118,9.410956,6.467936,-9.181091,-2.336119,6.201998
0.020000,12.326791,19.120537,9.536632,6.283764,-9.208605,-1.375690,6.179870
0.020000,12.447994,19.106669,9.658625,6.099695,-9.203430,0.258737,6.158711
0.020000,12.565246,19.090791,9.776947,5.916084,-9.180559,1.143580,6.138513
0.020000,12.678550,19.073165,9.891614,5.733333,-9.137569,2.149494,6.119260
0.020000,12.787924,19.054039,10.002648,5.551714,-9.080905,2.833169,6.100932
0.020000,12.893397,19.033646,10.110075,5.371321,-9.019680,3.061260,6.083507
0.020000,12.995010,19.012203,10.213925,5.192511,-8.940484,3.959795,6.066957
0.020000,13.092806,18.989912,10.314229,5.015223,-8.864427,3.802874,6.051255
0.020000,13.186840,18.966961,10.411024,4.839753,-8.773496,4.546532,6.036371
0.020000,13.277163,18.943524,10.504338,4.665673,-8.703981,3.475767,6.022274
0.020000,13.363835,18.919760,10.594208,4.493531,-8.607110,4.843568,6.008936
0.020000,13.446912,18.895819,10.680667,4.322926,-8.530271,3.841947,5.996325
0.020000,13.526457,18.871837,10.763749,4.154085,-8.442006,4.413218,5.984413
0.020000,13.602527,18.847938,10.843484,3.986761,-8.366219,3.789357,5.973171
0.020000,13.675180,18.824237,10.919906,3.821088,-8.283631,4.129411,5.962571
0.020000,13.744477,18.800840,10.993045,3.656970,-8.205898,3.886636,5.952587
0.020000,13.810462,18.777847,11.062921,3.493827,-8.157167,2.436562,5.943195
0.020000,13.873198,18.755342,11.129572,3.332533,-8.064679,4.624422,5.934369
0.020000,13.932732,18.733410,11.193018,3.172284,-8.012463,2.610757,5.926088
0.020000,13.989113,18.712125,11.253282,3.013224,-7.952994,2.973493,5.918330
0.020000,14.042389,18.691554,11.310392,2.855498,-7.886303,3.334515,5.911074
0.020000,14.092596,18.671762,11.364360,2.698367,-7.856560,1.487184,5.904304
0.020000,14.139783,18.652803,11.415212,2.542632,-7.786738,3.491099,5.898001
0.020000,14.183984,18.634731,11.462966,2.387662,-7.748507,1.911508,5.892149
0.020000,14.225238,18.617593,11.507637,2.233583,-7.703978,2.226466,5.886732
0.020000,14.263575,18.601431,11.549242,2.080239,-7.667203,1.838747,5.881738
0.020000,14.299027,18.586286,11.587793,1.927559,-7.633965,1.661905,5.877154
0.020000,14.331620,18.572192,11.623303,1.775513,-7.602322,1.582156,5.872967
0.020000,14.361384,18.559181,11.655787,1.624191,-7.566100,1.811101,5.869168
0.020000,14.388343,18.547280,11.685256,1.473429,-7.538076,1.401173,5.865747
0.020000,14.412511,18.536516,11.711713,1.322845,-7.529198,0.443921,5.862695
0.020000,14.433917,18.526910,11.735174,1.173089,-7.487801,2.069831,5.860005
0.020000,14.452568,18.518484,11.755641,1.023312,-7.488867,-0.053299,5.857671
0.020000,14.468484,18.511251,11.773124,0.874151,-7.458061,1.540321,5.855686
0.020000,14.481678,18.505227,11.787628,0.725219,-7.446603,0.572880,5.854045
0.020000,14.492161,18.500422,11.799159,0.576549,-7.433487,0.655805,5.852745
0.020000,14.499932,18.496849,11.807713,0.427682,-7.443346,-0.492926,5.851783
0.020000,14.505009,18.494510,11.813302,0.279480,-7.410111,1.661761,5.851155
0.020000,14.507469,18.493376,11.816012,0.135468,-7.200580,10.476550,5.850851
0.020000,14.508065,18.493101,11.816668,0.032792,-5.133834,103.337271,5.850778
0.020000,14.508065,18.493101,11.816668,0.000000,-1.639577,174.712861,5.850778
