dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.745966,13.728647,0.000648,0.064799,3.239953,161.997630,0.510075
0.020000,4.745966,13.728647,0.003240,0.194397,6.479905,161.997630,0.510481
0.020000,4.745966,13.728647,0.008424,0.323995,6.479905,0.000000,0.511294
0.020000,4.751284,13.731636,0.016200,0.453593,6.479905,0.000000,0.512509
0.020000,4.760315,13.736727,0.026568,0.583191,6.479905,0.000000,0.514124
0.020000,4.771593,13.743112,0.039527,0.712790,6.479905,-0.000000,0.516133
0.020000,4.785110,13.750803,0.055079,0.842388,6.479905,0.000000,0.518529
0.020000,4.800856,13.759817,0.073223,0.971986,6.479905,-0.000000,0.521306
0.020000,4.818821,13.770172,0.093959,1.101584,6.479905,0.000000,0.524453
0.020000,4.838993,13.781889,0.117286,1.231182,6.479905,-0.000000,0.527962
0.020000,4.861358,13.794990,0.143206,1.360780,6.479905,0.000000,0.531820
0.020000,4.885901,13.809500,0.171717,1.490378,6.479905,-0.000000,0.536015
0.020000,4.912607,13.825445,0.202821,1.619976,6.479905,0.000000,0.540532
0.020000,4.941456,13.842854,0.236517,1.749574,6.479905,-0.000000,0.545358
0.020000,4.972431,13.861757,0.272804,1.879173,6.479905,0.000000,0.550474
0.020000,5.005512,13.882184,0.311683,2.008771,6.479905,0.000000,0.555865
0.020000,5.040678,13.904167,0.353155,2.138369,6.479905,-0.000000,0.561511
0.020000,5.077906,13.927739,0.397218,2.267967,6.479905,0.000000,0.567393
0.020000,5.117173,13.952934,0.443874,2.397565,6.479905,0.000000,0.573490
0.020000,5.158457,13.979784,0.493121,2.527163,6.479905,0.000000,0.579780
0.020000,5.201732,14.008324,0.544960,2.656761,6.479905,-0.000000,0.586242
0.020000,5.246975,14.038588,0.599391,2.786359,6.479905,0.000000,0.592851
0.020000,5.294159,14.070608,0.656414,2.915957,6.479905,0.000000,0.599583
0.020000,5.343259,14.104417,0.716030,3.045555,6.479905,0.000000,0.606414
0.020000,5.394251,14.140048,0.778237,3.175154,6.479905,-0.000000,0.613318
0.020000,5.447110,14.177530,0.843036,3.304752,6.479905,0.000000,0.620269
0.020000,5.501809,14.216893,0.910427,3.434350,6.479905,0.000000,0.627241
0.020000,5.558327,14.258166,0.980410,3.563948,6.479905,0.000000,0.634206
0.020000,5.616638,14.301373,1.052985,3.693546,6.479905,-0.000000,0.641137
0.020000,5.676722,14.346539,1.128151,3.823144,6.479905,0.000000,0.648007
0.020000,5.738557,14.393685,1.205910,3.952742,6.479905,0.000000,0.654787
0.020000,5.802125,14.442832,1.286261,4.082340,6.479905,-0.000000,0.661450
0.020000,5.867407,14.493995,1.369204,4.211938,6.479905,0.000000,0.667967
0.020000,5.934389,14.547190,1.454739,4.341536,6.479905,-0.000000,0.674310
0.020000,6.003057,14.602426,1.542865,4.471135,6.479905,0.000000,0.680451
0.020000,6.073401,14.659711,1.633584,4.600733,6.479905,0.000000,0.686360
0.020000,6.145412,14.719051,1.726895,4.730331,6.479905,-0.000000,0.692009
0.020000,6.219087,14.780445,1.822797,4.859929,6.479905,0.000000,0.697369
0.020000,6.294425,14.843892,1.921292,4.989527,6.479905,-0.000000,0.702410
0.020000,6.371426,14.909383,2.022378,5.119125,6.479905,0.000000,0.707103
0.020000,6.450099,14.976910,2.126057,5.248723,6.479905,0.000000,0.711417
0.020000,6.530454,15.046455,2.232327,5.378321,6.479905,-0.000000,0.715323
0.020000,6.612505,15.117999,2.341190,5.507919,6.479905,0.000000,0.718787
0.020000,6.696273,15.191518,2.452644,5.637518,6.479905,0.000000,0.721779
0.020000,6.781782,15.266982,2.566690,5.767116,6.479905,-0.000000,0.724265
0.020000,6.869064,15.344354,2.683329,5.896714,6.479905,0.000000,0.726211
0.020000,6.958153,15.423593,2.802559,6.026312,6.479905,-0.000000,0.727580
0.020000,7.049094,15.504652,2.924381,6.155910,6.479905,0.000000,0.728335
0.020000,7.141933,15.587476,3.048795,6.285508,6.479905,0.000000,0.728435
0.020000,7.236727,15.672001,3.175802,6.415106,6.479905,-0.000000,0.727840
0.020000,7.333539,15.758159,3.305400,6.544704,6.479905,0.000000,0.726504
0.020000,7.432439,15.845869,3.437590,6.674302,6.479905,0.000000,0.724379
0.020000,7.533505,15.935042,3.572372,6.803900,6.479905,-0.000000,0.721414
0.020000,7.636824,16.025578,3.709746,6.933499,6.479905,0.000000,0.717555
0.020000,7.742491,16.117366,3.849712,7.063097,6.479905,-0.000000,0.712740
0.020000,7.850610,16.210279,3.992270,7.192695,6.479905,0.000000,0.706907
0.020000,7.961296,16.304179,4.137419,7.322293,6.479905,0.000000,0.699986
0.020000,8.074672,16.398907,4.285161,7.451891,6.479905,-0.000000,0.691902
0.020000,8.190871,16.494290,4.435495,7.581489,6.479905,0.000000,0.682574
0.020000,8.310036,16.590132,4.588421,7.711087,6.479905,0.000000,0.671913
0.020000,8.432321,16.686215,4.743939,7.840685,6.479905,-0.000000,0.659826
0.020000,8.557888,16.782293,4.902048,7.970283,6.479905,0.000000,0.646211
0.020000,8.686909,16.878096,5.062750,8.099882,6.479905,-0.000000,0.630962
0.020000,8.819563,16.973318,5.226044,8.229480,6.479905,0.000000,0.613966
0.020000,8.955434,17.067216,5.391206,8.286734,2.862699,-180.860306,0.595190
0.020000,9.092991,17.158351,5.556217,8.214389,-3.617206,-323.995260,0.574796
0.020000,9.230733,17.245486,5.719209,8.084791,-6.479905,-143.134955,0.553011
0.020000,9.368173,17.328174,5.879609,7.955193,-6.479905,-0.000000,0.529951
0.020000,9.505279,17.406302,6.037416,7.825595,-6.479905,0.000000,0.505677
0.020000,9.642001,17.479772,6.192632,7.695997,-6.479905,0.000000,0.480261
0.020000,9.778268,17.548503,6.345256,7.566399,-6.479905,0.000000,0.453790
0.020000,9.913993,17.612431,6.495288,7.436801,-6.479905,-0.000000,0.426363
0.020000,10.049071,17.671516,6.642728,7.307203,-6.479905,0.000000,0.398093
0.020000,10.183382,17.725738,6.787576,7.177605,-6.479905,0.000000,0.369103
0.020000,10.316793,17.775103,6.929833,7.048007,-6.479905,-0.000000,0.339530
0.020000,10.449158,17.819645,7.069497,6.918408,-6.479905,0.000000,0.309518
0.020000,10.580327,17.859421,7.206569,6.788810,-6.479905,-0.000000,0.279216
0.020000,10.710141,17.894518,7.341049,6.659212,-6.479905,0.000000,0.248777
0.020000,10.838442,17.925048,7.472937,6.529614,-6.479905,0.000000,0.218352
0.020000,10.965071,17.951146,7.602234,6.400016,-6.479905,-0.000000,0.188088
0.020000,11.089877,17.972971,7.728938,6.270418,-6.479905,0.000000,0.158125
0.020000,11.212711,17.990703,7.853050,6.140820,-6.479905,0.000000,0.128591
0.020000,11.333437,18.004538,7.974571,6.011222,-6.479905,-0.000000,0.099606
0.020000,11.451928,18.014686,8.093499,5.881624,-6.479905,0.000000,0.071270
0.020000,11.568069,18.021366,8.209836,5.752025,-6.479905,-0.000000,0.043673
0.020000,11.681757,18.024808,8.323580,5.622427,-6.479905,0.000000,0.016888
0.020000,11.792906,18.025242,8.434733,5.492829,-6.479905,0.000000,6.274157
0.020000,11.901438,18.022902,8.543293,5.363231,-6.479905,-0.000000,6.249154
0.020000,12.007291,18.018020,8.649262,5.233633,-6.479905,0.000000,6.225095
0.020000,12.110415,18.010823,8.752639,5.104035,-6.479905,0.000000,6.201998
0.020000,12.210768,18.001536,8.853424,4.974437,-6.479905,-0.000000,6.179870
0.020000,12.308323,17.990373,8.951616,4.844839,-6.479905,0.000000,6.158711
0.020000,12.403057,17.977544,9.047217,4.715241,-6.479905,-0.000000,6.138513
0.020000,12.494958,17.963247,9.140226,4.585643,-6.479905,0.000000,6.119260
0.020000,12.584023,17.947672,9.230643,4.456044,-6.479905,0.000000,6.100932
0.020000,12.670249,17.931000,9.318468,4.326446,-6.479905,-0.000000,6.083507
0.020000,12.753644,17.913400,9.403701,4.196848,-6.479905,0.000000,6.066957
0.020000,12.834217,17.895035,9.486342,4.067250,-6.479905,0.000000,6.051255
0.020000,12.911984,17.876053,9.566391,3.937652,-6.479905,-0.000000,6.036371
0.020000,12.986957,17.856599,9.643848,3.808054,-6.479905,0.000000,6.022274
0.020000,13.059157,17.836803,9.718713,3.678456,-6.479905,-0.000000,6.008936
0.020000,13.128603,17.816790,9.790986,3.548858,-6.479905,0.000000,5.996325
0.020000,13.195317,17.796676,9.860667,3.419260,-6.479905,0.000000,5.984413
0.020000,13.259321,17.776567,9.927756,3.289662,-6.479905,0.000000,5.973171
0.020000,13.320638,17.756565,9.992254,3.160063,-6.479905,-0.000000,5.962571
0.020000,13.379292,17.736761,10.054159,3.030465,-6.479905,0.000000,5.952587
0.020000,13.435299,17.717244,10.113472,2.900867,-6.479905,0.000000,5.943195
0.020000,13.488690,17.698092,10.170194,2.771269,-6.479905,0.000000,5.934369
0.020000,13.539482,17.679381,10.224323,2.641671,-6.479905,-0.000000,5.926088
0.020000,13.587697,17.661178,10.275860,2.512073,-6.479905,0.000000,5.918330
0.020000,13.633359,17.643547,10.324806,2.382475,-6.479905,0.000000,5.911074
0.020000,13.676480,17.626548,10.371159,2.252877,-6.479905,0.000000,5.904304
0.020000,13.717087,17.610233,10.414921,2.123279,-6.479905,-0.000000,5.898001
0.020000,13.755194,17.594652,10.456090,1.993680,-6.479905,0.000000,5.892149
0.020000,13.790820,17.579852,10.494668,1.864082,-6.479905,0.000000,5.886732
0.020000,13.823980,17.565873,10.530654,1.734484,-6.479905,-0.000000,5.881738
0.020000,13.854689,17.552754,10.564047,1.604886,-6.479905,0.000000,5.877154
0.020000,13.882960,17.540529,10.594849,1.475288,-6.479905,-0.000000,5.872967
0.020000,13.908808,17.529229,10.623059,1.345690,-6.479905,0.000000,5.869168
0.020000,13.932245,17.518883,10.648677,1.216092,-6.479905,-0.000000,5.865747
0.020000,13.953278,17.509516,10.671703,1.086494,-6.479905,0.000000,5.862695
0.020000,13.971922,17.501149,10.692137,0.956896,-6.479905,-0.000000,5.860005
0.020000,13.988180,17.493804,10.709979,0.827298,-6.479905,0.000000,5.857671
0.020000,14.002063,17.487495,10.725228,0.697699,-6.479905,0.000000,5.855686
0.020000,14.013578,17.482238,10.737886,0.568101,-6.479905,0.000000,5.854045
0.020000,14.022731,17.478042,10.747953,0.438503,-6.479905,0.000000,5.852745
0.020000,14.029519,17.474922,10.755427,0.308905,-6.479905,-0.000000,5.851783
0.020000,14.033954,17.472878,10.760309,0.179307,-6.479905,0.000000,5.851155
0.020000,14.036104,17.471887,10.762674,0.057254,-6.102652,18.862675,5.850851
0.020000,14.036624,17.471646,10.763247,0.000000,-2.862699,161.997630,5.850778
0.020000,14.036624,17.471646,10.763247,0.000000,0.000000,143.134955,5.850778
