dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502491,24.000000,0.002500,0.100000,2.000000,40.000000,6.283079
0.050000,1.512937,23.999996,0.012946,0.208927,2.178548,3.570966,6.282632
0.050000,1.533828,23.999976,0.033837,0.417812,4.177684,39.982712,6.281742
0.050000,1.565158,23.999909,0.065167,0.626609,4.175952,-0.034642,6.280411
0.050000,1.606922,23.999757,0.106931,0.835276,4.173346,-0.052124,6.278648
0.050000,1.659109,23.999463,0.159120,1.043769,4.169856,-0.069793,6.276459
0.050000,1.721709,23.998960,0.221722,1.252043,4.165471,-0.087700,6.273857
0.050000,1.794708,23.998169,0.294724,1.460052,4.160177,-0.105885,6.270854
0.050000,1.878087,23.997000,0.378112,1.667750,4.153958,-0.124376,6.267467
0.050000,1.971827,23.995350,0.471866,1.875089,4.146798,-0.143190,6.263712
0.050000,2.075904,23.993108,0.575968,2.082024,4.138682,-0.162327,6.259611
0.050000,2.190291,23.990157,0.690393,2.288503,4.129593,-0.181773,6.255186
0.050000,2.314957,23.986370,0.815117,2.494479,4.119519,-0.201497,6.250462
0.050000,2.449869,23.981615,0.950112,2.699901,4.108446,-0.221455,6.245466
0.050000,2.594986,23.975756,1.095348,2.904720,4.096366,-0.241589,6.240230
0.050000,2.750268,23.968656,1.250792,3.108884,4.083275,-0.261827,6.234786
0.050000,2.915668,23.960177,1.416409,3.312342,4.069170,-0.282092,6.229169
0.050000,3.091136,23.950180,1.592161,3.515045,4.054056,-0.302298,6.223416
0.050000,3.276618,23.938532,1.778008,3.716942,4.037938,-0.322359,6.217569
0.050000,3.472056,23.925106,1.973908,3.917983,4.020828,-0.342194,6.211669
0.050000,3.677391,23.909782,2.179814,4.118120,4.002741,-0.361728,6.205763
0.050000,3.892559,23.892448,2.395679,4.317305,3.983696,-0.380903,6.199897
0.050000,4.117496,23.873009,2.621453,4.515491,3.963712,-0.399678,6.194123
0.050000,4.352133,23.851382,2.857085,4.712631,3.942811,-0.418035,6.188491
0.050000,4.596402,23.827503,3.102519,4.908682,3.921011,-0.435985,6.183056
0.050000,4.850236,23.801327,3.357699,5.103598,3.898333,-0.453570,6.177876
0.050000,5.113566,23.772833,3.622566,5.297338,3.874790,-0.470863,6.173009
0.050000,5.386324,23.742026,3.897059,5.489857,3.850391,-0.487970,6.168516
0.050000,5.668447,23.708939,4.181114,5.681114,3.825140,-0.505026,6.164460
0.050000,5.959869,23.673635,4.474668,5.871066,3.799030,-0.522191,6.160907
0.050000,6.260533,23.636212,4.777651,6.059668,3.772048,-0.539643,6.157923
0.050000,6.570381,23.596807,5.089995,6.246877,3.744170,-0.557565,6.155579
0.050000,6.889362,23.555595,5.411627,6.432645,3.715363,-0.576135,6.153947
0.050000,7.217428,23.512794,5.742473,6.616924,3.685588,-0.595500,6.153101
0.050000,7.554536,23.468669,6.082457,6.799664,3.654800,-0.615760,6.153117
0.050000,7.900646,23.423537,6.431497,6.980812,3.622954,-0.636930,6.154077
0.050000,8.255723,23.377764,6.789513,7.160313,3.590009,-0.658905,6.156061
0.050000,8.619736,23.331778,7.156418,7.338109,3.555938,-0.681413,6.159155
0.050000,8.992651,23.286063,7.532126,7.514146,3.520740,-0.703955,6.163448
0.050000,9.374439,23.241170,7.916544,7.688369,3.484453,-0.725737,6.169029
0.050000,9.762628,23.197980,8.307128,7.811676,2.466147,-20.366136,6.175944
0.050000,10.152330,23.157603,8.698916,7.835772,0.481901,-39.684910,6.184155
0.050000,10.541124,23.120789,9.089449,7.810658,-0.502271,-19.683439,6.193620
0.050000,10.929020,23.088007,9.478728,7.785578,-0.501603,0.013356,6.204339
0.050000,11.316017,23.059718,9.866757,7.760579,-0.499976,0.032538,6.216308
0.050000,11.702098,23.036379,10.253543,7.735725,-0.497072,0.058082,6.229519
0.050000,12.087236,23.018437,10.639098,7.711098,-0.492545,0.090542,6.243961
0.050000,12.471385,23.006332,11.023438,7.686797,-0.486029,0.130313,6.259617
0.050000,12.854487,23.000491,11.406585,7.662939,-0.477151,0.177566,6.276466
0.050000,13.274658,22.996269,11.826778,8.403849,14.818196,305.906935,6.256156
0.050000,13.715680,22.975075,12.268308,8.830616,8.535336,-125.657191,6.214593
0.050000,14.152576,22.936467,12.706907,8.771968,-1.172948,-194.165689,6.175967
0.050000,14.584521,22.882119,13.142257,8.707006,-1.299250,-2.526040,6.140594
0.050000,15.010963,22.813819,13.574135,8.637555,-1.389010,-1.795184,6.108698
0.050000,15.430241,22.733676,14.001003,8.537372,-2.003657,-12.292940,6.080509
0.050000,15.838410,22.644512,14.418798,8.355881,-3.629838,-32.523619,6.056286
0.050000,16.232024,22.549328,14.823756,8.099178,-5.134043,-30.084117,6.036095
0.050000,16.610445,22.450470,15.214877,7.822412,-5.535318,-8.025491,6.019745
0.050000,16.974317,22.349734,15.592437,7.551190,-5.424446,2.217443,6.006958
0.050000,17.324281,22.248641,15.956709,7.285442,-5.314972,2.189480,5.997459
0.050000,17.660944,22.148475,16.307957,7.024967,-5.209500,2.109439,5.990985
0.050000,17.984871,22.050307,16.646432,6.769503,-5.109274,2.004509,5.987285
0.050000,18.296570,21.955020,16.972371,6.518771,-5.014632,1.892857,5.986121
0.050000,18.596494,21.863333,17.285996,6.272504,-4.925341,1.785804,5.987271
0.050000,18.885038,21.775823,17.587519,6.030461,-4.840856,1.689700,5.990523
0.050000,19.162546,21.692934,17.877141,5.792437,-4.760486,1.607403,5.995675
0.050000,19.429308,21.615000,18.155054,5.558261,-4.683517,1.539379,6.002537
0.050000,19.685572,21.542251,18.421444,5.327797,-4.609292,1.484498,6.010921
0.050000,19.931545,21.474827,18.676490,5.100933,-4.537262,1.440605,6.020648
0.050000,20.167400,21.412785,18.920370,4.877583,-4.467015,1.404947,6.031543
0.050000,20.393283,21.356113,19.153253,4.657668,-4.398290,1.374500,6.043433
0.050000,20.609312,21.304731,19.375309,4.441119,-4.330979,1.346224,6.056150
0.050000,20.815590,21.258506,19.586702,4.227864,-4.265115,1.317283,6.069530
0.050000,21.012200,21.217256,19.787593,4.017821,-4.200854,1.285219,6.083413
0.050000,21.199216,21.180756,19.978138,3.810898,-4.138449,1.248086,6.097641
0.050000,21.376703,21.148750,20.158487,3.606987,-4.078222,1.204540,6.112065
0.050000,21.544717,21.120955,20.328785,3.405961,-4.020528,1.153882,6.126540
0.050000,21.703312,21.097065,20.489169,3.207675,-3.965726,1.096051,6.140930
0.050000,21.852536,21.076763,20.639768,3.011967,-3.914148,1.031560,6.155105
0.050000,21.992435,21.059723,20.780701,2.818663,-3.866077,0.961403,6.168946
0.050000,22.123054,21.045616,20.912080,2.627577,-3.821731,0.886930,6.182341
0.050000,22.244436,21.034117,21.034005,2.438515,-3.781246,0.809703,6.195190
0.050000,22.356623,21.024906,21.146569,2.251281,-3.744678,0.731361,6.207400
0.050000,22.459654,21.017676,21.249853,2.065681,-3.712003,0.653492,6.218890
0.050000,22.553566,21.012132,21.343930,1.881524,-3.683127,0.577532,6.229588
0.050000,22.638397,21.007998,21.428861,1.698630,-3.657892,0.504685,6.239431
0.050000,22.714180,21.005018,21.504702,1.516825,-3.636098,0.435878,6.248365
0.050000,22.780946,21.002959,21.571500,1.335949,-3.617512,0.371738,6.256342
0.050000,22.838723,21.001609,21.629292,1.155855,-3.601882,0.312598,6.263324
0.050000,22.887536,21.000784,21.678113,0.976407,-3.588956,0.258509,6.269279
0.050000,22.927407,21.000328,21.717987,0.797483,-3.578493,0.209272,6.274179
0.050000,22.958355,21.000108,21.748935,0.618969,-3.570269,0.164476,6.278006
0.050000,22.980393,21.000024,21.770974,0.440765,-3.564092,0.123533,6.280742
0.050000,22.993532,21.000003,21.784112,0.262774,-3.559806,0.085716,6.282379
0.050000,22.998939,21.000000,21.789519,0.108137,-3.092744,9.341244,6.283053
0.050000,23.000000,21.000000,21.790580,0.021226,-1.738222,27.090445,6.283185
0.050000,23.000000,21.000000,21.790580,0.000000,-0.424518,26.274070,6.283185
