dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.502278,22.000000,0.002500,0.100000,2.000000,40.000000,6.283079
0.050000,1.511831,21.999997,0.012054,0.191073,1.821452,-3.570968,6.282632
0.050000,1.530941,21.999978,0.031163,0.382188,3.822316,40.017280,6.281742
0.050000,1.559610,21.999917,0.059833,0.573391,3.824047,0.034626,6.280411
0.050000,1.597846,21.999777,0.098069,0.764723,3.826652,0.052101,6.278648
0.050000,1.645657,21.999508,0.145880,0.956230,3.830140,0.069764,6.276459
0.050000,1.703053,21.999047,0.203278,1.147956,3.834523,0.087666,6.273857
0.050000,1.770046,21.998321,0.270275,1.339947,3.839816,0.105846,6.270854
0.050000,1.846651,21.997247,0.346888,1.532249,3.846033,0.124335,6.267467
0.050000,1.932883,21.995729,0.433133,1.724908,3.853190,0.143148,6.263712
0.050000,2.028760,21.993664,0.529032,1.917974,3.861304,0.162285,6.259611
0.050000,2.134299,21.990941,0.634607,2.111493,3.870391,0.181733,6.255186
0.050000,2.249522,21.987441,0.749882,2.305516,3.880464,0.201463,6.250462
0.050000,2.374449,21.983037,0.874887,2.500093,3.891535,0.221427,6.245466
0.050000,2.509103,21.977601,1.009651,2.695274,3.903614,0.241570,6.240230
0.050000,2.653507,21.970998,1.154206,2.891109,3.916705,0.261819,6.234786
0.050000,2.807687,21.963094,1.308589,3.087650,3.930810,0.282095,6.229169
0.050000,2.971669,21.953751,1.472836,3.284946,3.945925,0.302315,6.223416
0.050000,3.145479,21.942836,1.646988,3.483048,3.962045,0.322391,6.217569
0.050000,3.329146,21.930219,1.831089,3.682006,3.979157,0.342241,6.211669
0.050000,3.522701,21.915773,2.025182,3.881868,3.997246,0.361791,6.205763
0.050000,3.726176,21.899381,2.229316,4.082683,4.016295,0.380981,6.199897
0.050000,3.939606,21.880936,2.443541,4.284497,4.036284,0.399769,6.194123
0.050000,4.163026,21.860343,2.667909,4.487357,4.057191,0.418137,6.188491
0.050000,4.396479,21.837520,2.902474,4.691306,4.078995,0.436095,6.183056
0.050000,4.640007,21.812407,3.147294,4.896390,4.101680,0.453684,6.177876
0.050000,4.893659,21.784960,3.402426,5.102652,4.125229,0.470977,6.173009
0.050000,5.157488,21.755161,3.667933,5.310133,4.149632,0.488076,6.168516
0.050000,5.431553,21.723018,3.943877,5.518878,4.174888,0.505117,6.164460
0.050000,5.715921,21.688568,4.230323,5.728928,4.201001,0.522258,6.160907
0.050000,6.010663,21.651883,4.527340,5.940327,4.227985,0.539674,6.157923
0.050000,6.315860,21.613069,4.834996,6.153120,4.255862,0.557549,6.155579
0.050000,6.631604,21.572274,5.153363,6.367354,4.284665,0.576057,6.153947
0.050000,6.957991,21.529692,5.482517,6.583075,4.314432,0.595344,6.153101
0.050000,7.295132,21.485563,5.822534,6.800336,4.345208,0.615507,6.153117
0.050000,7.643145,21.440182,6.173493,7.019187,4.377035,0.636557,6.154077
0.050000,8.002159,21.393903,6.535478,7.239685,4.409955,0.658389,6.156061
0.050000,8.372311,21.347141,6.908572,7.461885,4.443991,0.680726,6.159155
0.050000,8.753748,21.300383,7.292864,7.685842,4.479145,0.703066,6.163448
0.050000,9.146622,21.254188,7.688444,7.911611,4.515375,0.724611,6.169029
0.050000,9.548557,21.209470,8.092859,8.088292,3.533625,-19.635008,6.175944
0.050000,9.954593,21.167402,8.501068,8.164184,1.517834,-40.315818,6.184155
0.050000,10.362234,21.128806,8.910532,8.189282,0.501975,-20.317175,6.193620
0.050000,10.771492,21.094221,9.321250,8.214346,0.501266,-0.014186,6.204339
0.050000,11.182362,21.064189,9.733216,8.239325,0.499598,-0.033350,6.216308
0.050000,11.594817,21.039258,10.146424,8.264158,0.496655,-0.058863,6.229519
0.050000,12.008807,21.019976,10.560862,8.288763,0.492091,-0.091278,6.243961
0.050000,12.424253,21.006888,10.976514,8.313040,0.485542,-0.130984,6.259617
0.050000,12.841048,21.000536,11.393358,8.336872,0.476634,-0.178153,6.276466
0.050000,13.220605,20.996999,11.772932,7.591482,-14.907787,-307.688431,6.256156
0.050000,13.578603,20.979778,12.131343,7.168232,-8.465000,128.855736,6.214593
0.050000,13.938551,20.947951,12.492695,7.227037,1.176090,192.821809,6.175967
0.050000,14.300304,20.902417,12.857303,7.292160,1.302461,2.527420,6.140594
0.050000,14.663757,20.844187,13.225391,7.361766,1.392129,1.793364,6.108698
0.050000,15.027659,20.774614,13.595884,7.409848,0.961643,-8.609732,6.080509
0.050000,15.388496,20.695775,13.965233,7.386982,-0.457338,-28.379609,6.056286
0.050000,15.742857,20.610071,14.329811,7.291556,-1.908506,-29.023366,6.036095
0.050000,16.089638,20.519470,14.688232,7.168417,-2.462792,-11.085725,6.019745
0.050000,16.428862,20.425551,15.040217,7.039706,-2.574202,-2.228201,6.006958
0.050000,16.760573,20.329726,15.385492,6.905501,-2.684107,-2.198085,5.997459
0.050000,17.084825,20.233250,15.723792,6.766005,-2.789915,-2.116158,5.990985
0.050000,17.401668,20.137227,16.054866,6.621486,-2.890396,-2.009637,5.987285
0.050000,17.711142,20.042620,16.378478,6.472224,-2.985230,-1.896672,5.986121
0.050000,18.013265,19.950262,16.694402,6.318491,-3.074658,-1.788551,5.987271
0.050000,18.308033,19.860864,17.002429,6.160529,-3.159237,-1.691587,5.990523
0.050000,18.595415,19.775028,17.302356,5.998546,-3.239667,-1.608601,5.995675
0.050000,18.875350,19.693248,17.593992,5.832713,-3.316669,-1.540030,6.002537
0.050000,19.147745,19.615922,17.877150,5.663167,-3.390904,-1.484718,6.010921
0.050000,19.412482,19.543358,18.151651,5.490021,-3.462929,-1.440490,6.020648
0.050000,19.669410,19.475776,18.417319,5.313363,-3.533158,-1.404581,6.031543
0.050000,19.918359,19.413319,18.673983,5.133270,-3.601856,-1.373952,6.043433
0.050000,20.159133,19.356055,18.921473,4.949814,-3.669133,-1.345557,6.056150
0.050000,20.391524,19.303981,19.159627,4.763065,-3.734961,-1.316553,6.069530
0.050000,20.615307,19.257032,19.388282,4.573106,-3.799185,-1.284473,6.083413
0.050000,20.830254,19.215084,19.607283,4.380029,-3.861553,-1.247363,6.097641
0.050000,21.036130,19.177961,19.816480,4.183941,-3.921747,-1.203874,6.112065
0.050000,21.232707,19.145442,20.015729,3.984971,-3.979412,-1.153300,6.126540
0.050000,21.419760,19.117267,20.204892,3.783261,-4.034190,-1.095570,6.140930
0.050000,21.597076,19.093145,20.383841,3.578974,-4.085750,-1.031191,6.155105
0.050000,21.764453,19.072759,20.552455,3.372283,-4.133807,-0.961150,6.168946
0.050000,21.921708,19.055777,20.710624,3.163376,-4.178147,-0.886789,6.182341
0.050000,22.068672,19.041855,20.858246,2.952444,-4.218630,-0.809666,6.195190
0.050000,22.205197,19.030647,20.995230,2.739684,-4.255201,-0.731415,6.207400
0.050000,22.331152,19.021808,21.121495,2.525290,-4.287882,-0.653624,6.218890
0.050000,22.446424,19.015004,21.236967,2.309452,-4.316768,-0.577724,6.229588
0.050000,22.550917,19.009912,21.341585,2.092351,-4.342014,-0.504920,6.239431
0.050000,22.644553,19.006231,21.435293,1.874160,-4.363821,-0.436139,6.248365
0.050000,22.727265,19.003679,21.518045,1.655039,-4.382422,-0.372012,6.256342
0.050000,22.799003,19.002003,21.589802,1.435136,-4.398065,-0.312869,6.263324
0.050000,22.859723,19.000978,21.650531,1.214586,-4.411003,-0.258766,6.269279
0.050000,22.909396,19.000409,21.700206,0.993512,-4.421479,-0.209505,6.274179
0.050000,22.947996,19.000135,21.738808,0.772026,-4.429712,-0.164677,6.278006
0.050000,22.975507,19.000030,21.766319,0.550231,-4.435897,-0.123695,6.280742
0.050000,22.991918,19.000003,21.782730,0.328222,-4.440189,-0.085835,6.282379
0.050000,22.998674,19.000000,21.789486,0.135110,-3.862235,11.559069,6.283053
0.050000,23.000000,19.000000,21.790812,0.026523,-2.171739,33.809920,6.283185
0.050000,23.000000,19.000000,21.790812,0.000000,-0.530462,32.825542,6.283185
