dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.002148,24.000000,0.002500,0.100000,2.000000,40.000000,0.000227
0.050000,1.011191,24.000007,0.011544,0.180878,1.617559,-7.648812,0.001183
0.050000,1.029282,24.000045,0.029635,0.361814,3.618716,40.023123,0.003093
0.050000,1.056425,24.000168,0.056778,0.542867,3.621058,0.046854,0.005949
0.050000,1.092629,24.000452,0.092983,0.724099,3.624648,0.071787,0.009744
0.050000,1.137905,24.001000,0.138262,0.905578,3.629572,0.098486,0.014465
0.050000,1.192265,24.001940,0.192630,1.087375,3.635946,0.127476,0.020097
0.050000,1.255726,24.003423,0.256109,1.269570,3.643906,0.159215,0.026618
0.050000,1.328306,24.005624,0.328722,1.452251,3.653611,0.194087,0.034005
0.050000,1.410022,24.008741,0.410497,1.635512,3.665230,0.232374,0.042229
0.050000,1.500895,24.012993,0.501470,1.819459,3.678941,0.274234,0.051256
0.050000,1.600948,24.018618,0.601680,2.004206,3.694925,0.319685,0.061045
0.050000,1.710201,24.025874,0.711174,2.189873,3.713355,0.368588,0.071551
0.050000,1.828677,24.035033,0.830004,2.376593,3.734386,0.420622,0.082721
0.050000,1.956398,24.046383,0.958229,2.564500,3.758151,0.475294,0.094495
0.050000,2.093388,24.060222,1.095916,2.753738,3.784747,0.531926,0.106808
0.050000,2.239668,24.076857,1.243138,2.944449,3.814231,0.589684,0.119584
0.050000,2.395259,24.096598,1.399977,3.136780,3.846611,0.647599,0.132744
0.050000,2.560185,24.119758,1.566521,3.330872,3.881842,0.704620,0.146199
0.050000,2.734466,24.146647,1.742864,3.526863,3.919825,0.759663,0.159855
0.050000,2.918125,24.177567,1.929108,3.724884,3.960410,0.811696,0.173609
0.050000,3.111188,24.212807,2.125361,3.925054,4.003400,0.859801,0.187355
0.050000,3.313681,24.252641,2.331735,4.127482,4.048563,0.903266,0.200979
0.050000,3.525637,24.297319,2.548348,4.332264,4.095646,0.941649,0.214364
0.050000,3.747093,24.347065,2.775322,4.539483,4.144388,0.974843,0.227388
0.050000,3.978095,24.402067,3.012783,4.749211,4.194544,1.003112,0.239926
0.050000,4.218703,24.462477,3.260858,4.961506,4.245899,1.027111,0.251850
0.050000,4.468988,24.528400,3.519679,5.176420,4.298293,1.047873,0.263027
0.050000,4.729039,24.599893,3.789379,5.394002,4.351632,1.066779,0.273326
0.050000,4.998970,24.676955,4.070094,5.614297,4.405907,1.085494,0.282610
0.050000,5.278915,24.759521,4.361962,5.837357,4.461201,1.105890,0.290741
0.050000,5.569044,24.847458,4.665124,6.063242,4.517698,1.129947,0.297579
0.050000,5.869555,24.940555,4.979725,6.292026,4.575680,1.159636,0.302977
0.050000,6.180687,25.038518,5.305915,6.523802,4.635519,1.196786,0.306787
0.050000,6.502721,25.140956,5.643849,6.758685,4.697665,1.242916,0.308852
0.050000,6.835982,25.247378,5.993690,6.996816,4.762617,1.299032,0.309012
0.050000,7.180844,25.357173,6.355608,7.238360,4.830884,1.365351,0.307094
0.050000,7.537729,25.469603,6.729784,7.483507,4.902931,1.440936,0.302918
0.050000,7.907107,25.583784,7.116407,7.732461,4.979091,1.523189,0.296294
0.050000,8.289493,25.698669,7.515678,7.985434,5.059450,1.607185,0.287021
0.050000,8.682953,25.812326,7.925225,8.190937,4.110061,-18.987776,0.274972
0.050000,9.082956,25.922080,8.340012,8.295741,2.096080,-40.279630,0.260181
0.050000,9.487280,26.026034,8.757486,8.349477,1.074721,-20.427163,0.242702
0.050000,9.896108,26.122979,9.177651,8.403305,1.076568,0.036923,0.222529
0.050000,10.309548,26.211668,9.600497,8.456916,1.072209,-0.087169,0.199674
0.050000,10.727613,26.290826,10.025990,8.509860,1.058878,-0.266628,0.174170
0.050000,11.150201,26.359163,10.454067,8.561540,1.033610,-0.505351,0.146079
0.050000,11.577074,26.415395,10.884628,8.611214,0.993466,-0.802883,0.115501
0.050000,12.007845,26.458275,11.317528,8.658005,0.935836,-1.152591,0.082581
0.050000,12.441968,26.486621,11.752576,8.700947,0.858828,-1.540166,0.047512
0.050000,12.878734,26.499360,12.189527,8.739031,0.761677,-1.943017,0.010535
0.050000,13.306220,26.497392,12.617018,8.549821,-3.784196,-90.917457,6.265948
0.050000,13.732160,26.484572,13.043151,8.522655,-0.543317,64.817573,6.239804
0.050000,14.160632,26.459811,13.472337,8.583729,1.221483,35.296001,6.210602
0.050000,14.591694,26.421485,13.905100,8.655251,1.430429,4.178917,6.177820
0.050000,15.025328,26.367652,14.342062,8.739251,1.680013,4.991682,6.140832
0.050000,15.461377,26.295978,14.783963,8.838015,1.975278,5.905292,6.098899
0.050000,15.899452,26.203664,15.231659,8.953918,2.318049,6.855431,6.051161
0.050000,16.338776,26.087384,15.686111,9.089039,2.702419,7.687406,5.996653
0.050000,16.777953,25.943267,16.148330,9.244384,3.106900,8.089614,5.934359
0.050000,17.214637,25.766977,16.619256,9.418512,3.482560,7.513188,5.863334
0.050000,17.645118,25.554023,17.099529,9.605474,3.739245,5.133707,5.782931
0.050000,18.063926,25.300391,17.589152,9.792442,3.739356,0.002212,5.693144
0.050000,18.463721,25.003592,18.087073,9.958425,3.319669,-8.393736,5.595023
0.050000,18.835815,24.663901,18.590902,10.076582,2.363132,-19.130740,5.490967
0.050000,19.171584,24.285230,19.096997,10.121910,0.906574,-29.131145,5.384632
