dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.002602,22.000000,0.002500,0.100000,2.000000,40.000000,0.000227
0.050000,1.013558,22.000008,0.013456,0.219122,2.382440,7.648807,0.001183
0.050000,1.035467,22.000055,0.035365,0.438186,4.381282,39.976840,0.003093
0.050000,1.068324,22.000203,0.068222,0.657133,4.378936,-0.046927,0.005949
0.050000,1.112117,22.000547,0.112017,0.875900,4.375341,-0.071893,0.009744
0.050000,1.166834,22.001210,0.166738,1.094421,4.370410,-0.098625,0.014465
0.050000,1.232456,22.002344,0.232369,1.312622,4.364028,-0.127642,0.020097
0.050000,1.308956,22.004131,0.308890,1.530425,4.356058,-0.159406,0.026618
0.050000,1.396303,22.006780,0.396278,1.747742,4.346343,-0.194297,0.034005
0.050000,1.494455,22.010524,0.494501,1.964478,4.334713,-0.232595,0.042229
0.050000,1.603363,22.015619,0.603528,2.180527,4.320990,-0.274460,0.051256
0.050000,1.722963,22.022344,0.723317,2.395777,4.304995,-0.319908,0.061045
0.050000,1.853181,22.030991,0.853822,2.610105,4.286555,-0.368794,0.071551
0.050000,1.993930,22.041872,0.994991,2.823380,4.265515,-0.420804,0.082721
0.050000,2.145108,22.055306,1.146764,3.035467,4.241743,-0.475437,0.094495
0.050000,2.306597,22.071619,1.309075,3.246225,4.215142,-0.532020,0.106808
0.050000,2.478266,22.091140,1.481851,3.455507,4.185656,-0.589717,0.119584
0.050000,2.659968,22.114193,1.665009,3.663171,4.153278,-0.647562,0.132744
0.050000,2.851542,22.141094,1.858463,3.869074,4.118053,-0.704502,0.146199
0.050000,3.052815,22.172146,2.062117,4.073078,4.080080,-0.759461,0.159855
0.050000,3.263602,22.207631,2.275870,4.275053,4.039510,-0.811405,0.173609
0.050000,3.483709,22.247806,2.499614,4.474880,3.996538,-0.859425,0.187355
0.050000,3.712939,22.292898,2.733236,4.672450,3.951398,-0.902810,0.200979
0.050000,3.951089,22.343096,2.976620,4.867667,3.904342,-0.941124,0.214364
0.050000,4.197961,22.398548,3.229642,5.060449,3.855628,-0.974265,0.227388
0.050000,4.453358,22.459356,3.492178,5.250724,3.805503,-1.002502,0.239926
0.050000,4.717094,22.525570,3.764100,5.438433,3.754179,-1.026493,0.251850
0.050000,4.988997,22.597186,4.045276,5.623524,3.701815,-1.047279,0.263027
0.050000,5.268910,22.674137,4.335573,5.805949,3.648503,-1.066241,0.273326
0.050000,5.556696,22.756293,4.634856,5.985661,3.594250,-1.085051,0.282610
0.050000,5.852241,22.843458,4.942987,6.162610,3.538971,-1.105584,0.290741
0.050000,6.155456,22.935359,5.259824,6.336734,3.482480,-1.129825,0.297579
0.050000,6.466281,23.031650,5.585222,6.507958,3.424492,-1.159754,0.302977
0.050000,6.784681,23.131900,5.919031,6.676190,3.364632,-1.197206,0.306787
0.050000,7.110652,23.235590,6.261097,6.841312,3.302446,-1.243714,0.308852
0.050000,7.444217,23.342109,6.611256,7.003184,3.237431,-1.300297,0.309012
0.050000,7.785423,23.450741,6.969338,7.161637,3.169072,-1.367190,0.307094
0.050000,8.134342,23.560663,7.335162,7.316482,3.096898,-1.443477,0.302918
0.050000,8.491062,23.670934,7.708537,7.467511,3.020569,-1.526586,0.296294
0.050000,8.855686,23.780486,8.089263,7.614510,2.939988,-1.611614,0.287021
0.050000,9.225992,23.887460,8.474711,7.708967,1.889133,-21.017097,0.274972
0.050000,9.597467,23.989393,8.859917,7.704113,-0.097073,-39.724115,0.260181
0.050000,9.967932,24.084650,9.242433,7.650319,-1.075878,-19.576107,0.242702
0.050000,10.337503,24.172294,9.622254,7.596423,-1.077920,-0.040831,0.222529
0.050000,10.706249,24.251406,9.999391,7.542736,-1.073748,0.083429,0.199674
0.050000,11.074194,24.321084,10.373876,7.489706,-1.060586,0.263238,0.174170
0.050000,11.441320,24.380464,10.745773,7.437933,-1.035459,0.502549,0.146079
0.050000,11.807563,24.428721,11.115181,7.388163,-0.995412,0.800949,0.115501
0.050000,12.172820,24.465091,11.482245,7.341272,-0.937820,1.151826,0.082581
0.050000,12.536956,24.488878,11.847156,7.298233,-0.860778,1.540849,0.047512
0.050000,12.899804,24.499471,12.210159,7.260058,-0.763510,1.945360,0.010535
0.050000,13.271748,24.497689,12.582108,7.438973,3.578304,86.836279,6.265948
0.050000,13.645424,24.486454,12.955952,7.476889,0.758333,-56.399432,6.239804
0.050000,14.015592,24.465077,13.326737,7.415702,-1.223737,-39.641398,6.210602
0.050000,14.381353,24.432577,13.693939,7.344033,-1.433387,-4.192992,6.177820
0.050000,14.741583,24.387883,14.056931,7.259837,-1.683923,-5.010713,6.140832
0.050000,15.094888,24.329843,14.414971,7.160813,-1.980480,-5.931145,6.098899
0.050000,15.439556,24.257258,14.767200,7.044564,-2.324987,-6.890149,6.051161
0.050000,15.773520,24.168925,15.112649,6.908981,-2.711646,-7.733167,5.996653
0.050000,16.094363,24.063718,15.450300,6.753030,-3.119026,-8.147599,5.934359
0.050000,16.399388,23.940678,15.779206,6.578126,-3.498085,-7.581182,5.863334
0.050000,16.685820,23.799101,16.098717,6.390216,-3.758198,-5.202265,5.782931
0.050000,16.951136,23.638555,16.408826,6.202182,-3.760685,-0.049731,5.693144
0.050000,17.193484,23.458762,16.710584,6.035151,-3.340605,8.401586,5.595023
0.050000,17.411988,23.259366,17.006394,5.916192,-2.379190,19.228313,5.490967
0.050000,17.606731,23.039744,17.299921,5.870542,-0.912995,29.323894,5.384632
0.050000,17.778358,22.799143,17.595462,5.910837,0.805892,34.377744,5.280308
0.050000,17.927633,22.537155,17.896993,6.030617,2.395608,31.794309,5.181961
0.050000,18.055259,22.254226,18.207375,6.207642,3.540488,22.897600,5.092447
0.050000,18.162014,21.951808,18.528083,6.414149,4.130154,11.793319,5.013238
0.050000,18.248946,21.632099,18.859400,6.626348,4.243975,2.276426,4.944620
0.050000,18.317455,21.297612,19.200831,6.828607,4.045176,-3.975990,4.886099
0.050000,18.369241,20.950804,19.551484,7.013073,3.689326,-7.117001,4.836789
0.050000,18.406186,20.593842,19.910353,7.177375,3.286031,-8.065894,4.795683
0.050000,18.430238,20.228518,20.276468,7.322300,2.898513,-7.750349,4.761815
0.050000,18.443328,19.856240,20.648975,7.450149,2.556965,-6.830973,4.734334
0.050000,18.447325,19.478074,21.027163,7.563753,2.272084,-5.697615,4.712529
0.050000,18.444017,19.094789,21.410462,7.665985,2.044654,-4.548609,4.695833
0.050000,18.435113,18.706914,21.798440,7.759549,1.871277,-3.467533,4.683813
0.050000,18.422261,18.314778,22.190786,7.846923,1.747478,-2.475969,4.676160
0.050000,18.407072,17.918550,22.587305,7.930386,1.669248,-1.564600,4.672680
0.050000,18.391153,17.518262,22.987909,8.012073,1.633755,-0.709876,4.673283
0.050000,18.376144,17.113838,23.392612,8.094055,1.639638,0.117669,4.677986
0.050000,18.363759,16.705105,23.801532,8.178411,1.687110,0.949439,4.686908
0.050000,18.355836,16.291816,24.214898,8.267307,1.777933,1.816467,4.700277
0.050000,18.354401,15.873665,24.633051,8.363071,1.915275,2.746833,4.718436
0.050000,18.361735,15.450316,25.056463,8.468237,2.103310,3.760706,4.741858
0.050000,18.380459,15.021447,25.485741,8.585552,2.346314,4.860081,4.771151
0.050000,18.413634,14.586817,25.921635,8.717890,2.646745,6.008618,4.807068
0.050000,18.464863,14.146388,26.365033,8.867965,3.001498,7.095057,4.850502
0.050000,18.526164,13.755547,26.760652,7.912376,-19.111776,-442.265490,4.846227
0.050000,18.545799,13.475110,27.041776,5.622481,-45.797900,-533.722481,4.727515
0.050000,18.536234,13.160090,27.356941,6.303294,13.616261,1188.283237,4.642774
0.050000,18.501752,12.821112,27.697669,6.814560,10.225320,-67.818836,4.583551
0.050000,18.447816,12.465114,28.057729,7.201204,7.732888,-49.848628,4.543635
0.050000,18.379778,12.096043,28.433019,7.505797,6.091848,-32.820803,4.518990
0.050000,18.303059,11.718129,28.818641,7.712450,4.133065,-39.175667,4.507280
0.050000,18.223322,11.336750,29.208267,7.792511,1.601219,-50.636916,4.507126
0.050000,18.145442,10.954196,29.598668,7.808016,0.310111,-25.822161,4.517749
0.050000,18.073543,10.569693,29.989835,7.823349,0.306645,-0.069323,4.539145
0.050000,18.011842,10.181867,30.382539,7.854072,0.614463,6.156370,4.572087
0.050000,17.965083,9.788868,30.778310,7.915431,1.227185,12.254427,4.618114
0.050000,17.939076,9.388578,31.179444,8.022675,2.144889,18.354086,4.679531
0.050000,17.941337,8.979156,31.588872,8.188563,3.317753,23.457285,4.759288
0.050000,17.981598,8.560338,32.009621,8.414967,4.528079,24.206525,4.860437
0.050000,18.071411,8.135985,32.443374,8.675066,5.201972,13.477851,4.984690
0.050000,18.221181,7.717404,32.887943,8.891382,4.326319,-17.513065,5.129871
0.050000,18.433827,7.324160,33.334999,8.941115,0.994672,-66.632932,5.287612
