dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500024,14.000000,0.000099,0.009934,0.496717,24.835862,0.000000
0.020000,1.500422,14.000000,0.000497,0.019869,0.496717,0.000000,0.000000
0.020000,1.501216,14.000000,0.001291,0.039737,0.993434,24.835862,0.000000
0.020000,1.502409,14.000000,0.002484,0.059606,0.993434,0.000000,0.000000
0.020000,1.503998,14.000000,0.004073,0.079475,0.993434,0.000000,0.000000
0.020000,1.505985,14.000000,0.006060,0.099343,0.993434,0.000000,0.000000
0.020000,1.508369,14.000000,0.008444,0.119212,0.993434,0.000000,0.000000
0.020000,1.511151,14.000000,0.011226,0.139081,0.993434,0.000000,0.000000
0.020000,1.514330,14.000000,0.014405,0.158950,0.993434,-0.000000,0.000000
0.020000,1.517906,14.000000,0.017981,0.178818,0.993434,0.000000,0.000000
0.020000,1.521880,14.000000,0.021955,0.198687,0.993434,-0.000000,0.000000
0.020000,1.526251,14.000000,0.026326,0.218556,0.993434,0.000000,0.000000
0.020000,1.531019,14.000000,0.031094,0.238424,0.993434,-0.000000,0.000000
0.020000,1.536185,14.000000,0.036260,0.258293,0.993434,0.000000,0.000000
0.020000,1.541749,14.000000,0.041824,0.278162,0.993434,-0.000000,0.000000
0.020000,1.547709,14.000000,0.047784,0.298030,0.993434,0.000000,0.000000
0.020000,1.554067,14.000000,0.054142,0.317899,0.993434,0.000000,0.000000
0.020000,1.560823,14.000000,0.060898,0.337768,0.993434,0.000000,0.000000
0.020000,1.567975,14.000000,0.068050,0.357636,0.993434,0.000000,0.000000
0.020000,1.575525,14.000000,0.075600,0.377505,0.993434,0.000000,0.000000
0.020000,1.583473,14.000000,0.083548,0.397374,0.993434,0.000000,0.000000
0.020000,1.591818,14.000000,0.091893,0.417242,0.993434,-0.000000,0.000000
0.020000,1.600560,14.000000,0.100635,0.437111,0.993434,-0.000000,0.000000
0.020000,1.609700,14.000000,0.109775,0.456980,0.993434,0.000000,0.000000
0.020000,1.619236,14.000000,0.119311,0.476849,0.993434,-0.000000,0.000000
0.020000,1.629171,14.000000,0.129246,0.496717,0.993434,0.000000,0.000000
0.020000,1.639503,14.000000,0.139578,0.516586,0.993434,0.000000,0.000000
0.020000,1.650232,14.000000,0.150307,0.536455,0.993434,0.000000,0.000000
0.020000,1.661358,14.000000,0.161433,0.556323,0.993434,-0.000000,0.000000
0.020000,1.672882,14.000000,0.172957,0.576192,0.993434,0.000000,0.000000
0.020000,1.684803,14.000000,0.184878,0.596061,0.993434,-0.000000,0.000000
0.020000,1.697122,14.000000,0.197197,0.615929,0.993434,0.000000,0.000000
0.020000,1.709838,14.000000,0.209913,0.635798,0.993434,-0.000000,0.000000
0.020000,1.722951,14.000000,0.223026,0.655667,0.993434,0.000000,0.000000
0.020000,1.736462,14.000000,0.236537,0.675535,0.993434,-0.000000,0.000000
0.020000,1.750370,14.000000,0.250445,0.695404,0.993434,-0.000000,0.000000
0.020000,1.764675,14.000000,0.264750,0.715273,0.993434,0.000000,0.000000
0.020000,1.779378,14.000000,0.279453,0.735142,0.993434,0.000000,0.000000
0.020000,1.794478,14.000000,0.294553,0.755010,0.993434,-0.000000,0.000000
0.020000,1.809976,14.000000,0.310051,0.774879,0.993434,0.000000,0.000000
0.020000,1.825871,14.000000,0.325946,0.794748,0.993434,-0.000000,0.000000
0.020000,1.842163,14.000000,0.342238,0.814616,0.993434,0.000000,0.000000
0.020000,1.858853,14.000000,0.358928,0.834485,0.993434,-0.000000,0.000000
0.020000,1.875940,14.000000,0.376015,0.854354,0.993434,0.000000,0.000000
0.020000,1.893424,14.000000,0.393499,0.874222,0.993434,-0.000000,0.000000
0.020000,1.911306,14.000000,0.411381,0.894091,0.993434,0.000000,0.000000
0.020000,1.929585,14.000000,0.429660,0.913960,0.993434,0.000000,0.000000
0.020000,1.948262,14.000000,0.448337,0.933828,0.993434,-0.000000,0.000000
0.020000,1.967336,14.000000,0.467411,0.953697,0.993434,0.000000,0.000000
0.020000,1.986807,14.000000,0.486882,0.973566,0.993434,0.000000,0.000000
0.020000,2.006676,14.000000,0.506751,0.993434,0.993434,-0.000000,0.000000
0.020000,2.026942,14.000000,0.527017,1.013303,0.993434,-0.000000,0.000000
0.020000,2.047605,14.000000,0.547680,1.033172,0.993434,-0.000000,0.000000
0.020000,2.068666,14.000000,0.568741,1.053041,0.993434,0.000000,0.000000
0.020000,2.090124,14.000000,0.590199,1.072909,0.993434,0.000000,0.000000
0.020000,2.111980,14.000000,0.612055,1.092778,0.993434,0.000000,0.000000
0.020000,2.134233,14.000000,0.634308,1.112647,0.993434,-0.000000,0.000000
0.020000,2.156883,14.000000,0.656958,1.132515,0.993434,0.000000,0.000000
0.020000,2.179931,14.000000,0.680006,1.152384,0.993434,-0.000000,0.000000
0.020000,2.203376,14.000000,0.703451,1.172253,0.993434,0.000000,0.000000
0.020000,2.227218,14.000000,0.727293,1.192121,0.993434,-0.000000,0.000000
0.020000,2.251458,14.000000,0.751533,1.211990,0.993434,0.000000,0.000000
0.020000,2.276095,14.000000,0.776170,1.231859,0.993434,-0.000000,0.000000
0.020000,2.301130,14.000000,0.801205,1.251727,0.993434,0.000000,0.000000
0.020000,2.326562,14.000000,0.826637,1.271596,0.993434,0.000000,0.000000
0.020000,2.352391,14.000000,0.852466,1.291465,0.993434,-0.000000,0.000000
0.020000,2.378618,14.000000,0.878693,1.311334,0.993434,0.000000,0.000000
0.020000,2.405242,14.000000,0.905317,1.331202,0.993434,-0.000000,0.000000
0.020000,2.432263,14.000000,0.932338,1.351071,0.993434,0.000000,0.000000
0.020000,2.459682,14.000000,0.959757,1.370940,0.993434,-0.000000,0.000000
0.020000,2.487498,14.000000,0.987573,1.390808,0.993434,0.000000,0.000000
0.020000,2.515712,14.000000,1.015787,1.410677,0.993434,0.000000,0.000000
0.020000,2.544323,14.000000,1.044398,1.430546,0.993434,0.000000,0.000000
0.020000,2.573331,14.000000,1.073406,1.450414,0.993434,-0.000000,0.000000
0.020000,2.602737,14.000000,1.102812,1.470283,0.993434,-0.000000,0.000000
0.020000,2.632540,14.000000,1.132615,1.490152,0.993434,0.000000,0.000000
0.020000,2.662740,14.000000,1.162815,1.510020,0.993434,-0.000000,0.000000
0.020000,2.693338,14.000000,1.193413,1.529889,0.993434,0.000000,0.000000
0.020000,2.724333,14.000000,1.224408,1.549758,0.993434,0.000000,0.000000
0.020000,2.755726,14.000000,1.255801,1.569627,0.993434,-0.000000,0.000000
0.020000,2.787515,14.000000,1.287590,1.589495,0.993434,0.000000,0.000000
0.020000,2.819703,14.000000,1.319778,1.609364,0.993434,-0.000000,0.000000
0.020000,2.852287,14.000000,1.352362,1.629233,0.993434,0.000000,0.000000
0.020000,2.885269,14.000000,1.385344,1.649101,0.993434,-0.000000,0.000000
0.020000,2.918649,14.000000,1.418724,1.668970,0.993434,-0.000000,0.000000
0.020000,2.952426,14.000000,1.452501,1.688839,0.993434,0.000000,0.000000
0.020000,2.986600,14.000000,1.486675,1.708707,0.993434,-0.000000,0.000000
0.020000,3.021171,14.000000,1.521246,1.728576,0.993434,0.000000,0.000000
0.020000,3.056140,14.000000,1.556215,1.748445,0.993434,-0.000000,0.000000
0.020000,3.091506,14.000000,1.591581,1.768313,0.993434,0.000000,0.000000
0.020000,3.127270,14.000000,1.627345,1.788182,0.993434,-0.000000,0.000000
0.020000,3.163431,14.000000,1.663506,1.808051,0.993434,0.000000,0.000000
0.020000,3.199989,14.000000,1.700064,1.827919,0.993434,0.000000,0.000000
0.020000,3.236945,14.000000,1.737020,1.847788,0.993434,-0.000000,0.000000
0.020000,3.274298,14.000000,1.774373,1.867657,0.993434,0.000000,0.000000
0.020000,3.312049,14.000000,1.812124,1.887526,0.993434,0.000000,0.000000
0.020000,3.350197,14.000000,1.850272,1.907394,0.993434,-0.000000,0.000000
0.020000,3.388742,14.000000,1.888817,1.927263,0.993434,0.000000,0.000000
0.020000,3.427685,14.000000,1.927760,1.947132,0.993434,-0.000000,0.000000
0.020000,3.467025,14.000000,1.967100,1.967000,0.993434,0.000000,0.000000
0.020000,3.506762,14.000000,2.006837,1.986869,0.993434,-0.000000,0.000000
0.020000,3.546897,14.000000,2.046972,2.006738,0.993434,0.000000,0.000000
0.020000,3.587429,14.000000,2.087504,2.026606,0.993434,0.000000,0.000000
0.020000,3.628358,14.000000,2.128433,2.046475,0.993434,-0.000000,0.000000
0.020000,3.669685,14.000000,2.169760,2.066344,0.993434,0.000000,0.000000
0.020000,3.711410,14.000000,2.211485,2.086212,0.993434,-0.000000,0.000000
0.020000,3.753531,14.000000,2.253606,2.106081,0.993434,0.000000,0.000000
0.020000,3.796050,14.000000,2.296125,2.125950,0.993434,-0.000000,0.000000
0.020000,3.838967,14.000000,2.339042,2.145819,0.993434,0.000000,0.000000
0.020000,3.882280,14.000000,2.382355,2.165687,0.993434,0.000000,0.000000
0.020000,3.925991,14.000000,2.426066,2.185556,0.993434,-0.000000,0.000000
0.020000,3.970100,14.000000,2.470175,2.205425,0.993434,0.000000,0.000000
0.020000,4.014606,14.000000,2.514681,2.225293,0.993434,-0.000000,0.000000
0.020000,4.059509,14.000000,2.559584,2.245162,0.993434,0.000000,0.000000
0.020000,4.104810,14.000000,2.604885,2.265031,0.993434,-0.000000,0.000000
0.020000,4.150508,14.000000,2.650583,2.284899,0.993434,0.000000,0.000000
0.020000,4.196603,14.000000,2.696678,2.304768,0.993434,-0.000000,0.000000
0.020000,4.243096,14.000000,2.743171,2.324637,0.993434,0.000000,0.000000
0.020000,4.289986,14.000000,2.790061,2.344505,0.993434,-0.000000,0.000000
0.020000,4.337273,14.000000,2.837348,2.364374,0.993434,0.000000,0.000000
0.020000,4.384958,14.000000,2.885033,2.384243,0.993434,0.000000,0.000000
0.020000,4.433040,14.000000,2.933115,2.404111,0.993434,0.000000,0.000000
0.020000,4.481520,14.000000,2.981595,2.423980,0.993434,-0.000000,0.000000
0.020000,4.530397,14.000000,3.030472,2.443849,0.993434,0.000000,0.000000
0.020000,4.579671,14.000000,3.079746,2.463718,0.993434,0.000000,0.000000
0.020000,4.629343,14.000000,3.129418,2.483586,0.993434,-0.000000,0.000000
0.020000,4.679412,14.000000,3.179487,2.503455,0.993434,0.000000,0.000000
0.020000,4.729879,14.000000,3.229954,2.523324,0.993434,0.000000,0.000000
0.020000,4.780742,14.000000,3.280817,2.543192,0.993434,-0.000000,0.000000
0.020000,4.832004,14.000000,3.332079,2.563061,0.993434,0.000000,0.000000
0.020000,4.883662,14.000000,3.383737,2.582930,0.993434,0.000000,0.000000
0.020000,4.935718,14.000000,3.435793,2.602798,0.993434,0.000000,0.000000
0.020000,4.988172,14.000000,3.488247,2.622667,0.993434,0.000000,0.000000
0.020000,5.041022,14.000000,3.541097,2.642536,0.993434,0.000000,0.000000
0.020000,5.094270,14.000000,3.594345,2.662404,0.993434,-0.000000,0.000000
0.020000,5.147916,14.000000,3.647991,2.682273,0.993434,0.000000,0.000000
0.020000,5.201959,14.000000,3.702034,2.702142,0.993434,-0.000000,0.000000
0.020000,5.256276,14.000000,3.756351,2.715887,0.687256,-15.308912,0.000000
0.020000,5.310548,14.000000,3.810623,2.713574,-0.115639,-40.144774,0.000000
0.020000,5.364498,14.000000,3.864573,2.697516,-0.802895,-34.362813,0.000000
0.020000,5.418051,14.000000,3.918126,2.677648,-0.993434,-9.526951,0.000000
0.020000,5.471207,14.000000,3.971282,2.657779,-0.993434,-0.000000,0.000000
0.020000,5.523965,14.000000,4.024040,2.637910,-0.993434,0.000000,0.000000
0.020000,5.576326,14.000000,4.076401,2.618042,-0.993434,0.000000,0.000000
0.020000,5.628289,14.000000,4.128364,2.598173,-0.993434,-0.000000,0.000000
0.020000,5.679855,14.000000,4.179930,2.578304,-0.993434,0.000000,0.000000
0.020000,5.731024,14.000000,4.231099,2.558435,-0.993434,0.000000,0.000000
0.020000,5.781795,14.000000,4.281870,2.538567,-0.993434,0.000000,0.000000
0.020000,5.832169,14.000000,4.332244,2.518698,-0.993434,-0.000000,0.000000
0.020000,5.882146,14.000000,4.382221,2.498829,-0.993434,0.000000,0.000000
0.020000,5.931725,14.000000,4.431800,2.478961,-0.993434,-0.000000,0.000000
0.020000,5.980907,14.000000,4.480982,2.459092,-0.993434,0.000000,0.000000
0.020000,6.029691,14.000000,4.529766,2.439223,-0.993434,-0.000000,0.000000
0.020000,6.078079,14.000000,4.578154,2.419355,-0.993434,0.000000,0.000000
0.020000,6.126068,14.000000,4.626143,2.399486,-0.993434,-0.000000,0.000000
0.020000,6.173661,14.000000,4.673736,2.379617,-0.993434,0.000000,0.000000
0.020000,6.220856,14.000000,4.720931,2.359749,-0.993434,-0.000000,0.000000
0.020000,6.267653,14.000000,4.767728,2.339880,-0.993434,0.000000,0.000000
0.020000,6.314053,14.000000,4.814128,2.320011,-0.993434,-0.000000,0.000000
0.020000,6.360056,14.000000,4.860131,2.300142,-0.993434,-0.000000,0.000000
0.020000,6.405662,14.000000,4.905737,2.280274,-0.993434,0.000000,0.000000
0.020000,6.450870,14.000000,4.950945,2.260405,-0.993434,0.000000,0.000000
0.020000,6.495681,14.000000,4.995756,2.240536,-0.993434,0.000000,0.000000
0.020000,6.540094,14.000000,5.040169,2.220668,-0.993434,-0.000000,0.000000
0.020000,6.584110,14.000000,5.084185,2.200799,-0.993434,0.000000,0.000000
