dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.503003,12.000001,0.002500,0.099988,1.999751,39.995029,0.000612
0.050000,1.515564,12.000025,0.015061,0.251216,3.024574,20.496448,0.003174
0.050000,1.540710,12.000169,0.040207,0.502931,5.034295,40.194432,0.008323
0.050000,1.578489,12.000630,0.077989,0.755636,5.054104,0.396172,0.016108
0.050000,1.628968,12.001708,0.128479,1.009808,5.083442,0.586763,0.026604
0.050000,1.692227,12.003812,0.191774,1.265895,5.121733,0.765824,0.039905
0.050000,1.768354,12.007469,0.267989,1.524294,5.167987,0.925079,0.056128
0.050000,1.857428,12.013333,0.357255,1.785324,5.220589,1.052027,0.075405
0.050000,1.959502,12.022196,0.459714,2.049175,5.277019,1.128605,0.097875
0.050000,2.074586,12.034993,0.575506,2.315850,5.333512,1.129858,0.123682
0.050000,2.202606,12.052809,0.704760,2.585084,5.384671,1.023192,0.152954
0.050000,2.343376,12.076876,0.847572,2.856240,5.423121,0.768991,0.185786
0.050000,2.496544,12.108558,1.003983,3.128206,5.439312,0.323830,0.222220
0.050000,2.661548,12.149320,1.173947,3.399291,5.421704,-0.352179,0.262212
0.050000,2.837567,12.200679,1.357306,3.667169,5.357566,-1.282750,0.305602
0.050000,3.023485,12.264123,1.553751,3.928902,5.234659,-2.458142,0.352083
0.050000,3.217883,12.341020,1.762805,4.181092,5.043806,-3.817053,0.401179
0.050000,3.419067,12.432509,1.983815,4.420192,4.781997,-5.236175,0.452233
0.050000,3.625144,12.539395,2.215962,4.642947,4.455088,-6.538193,0.504430
0.050000,3.834139,12.662081,2.458307,4.846888,4.078822,-7.525308,0.556825
0.050000,4.044143,12.800535,2.709844,5.030746,3.677159,-8.033268,0.608415
0.050000,4.253458,12.954314,2.969576,5.194639,3.277865,-7.985887,0.658200
0.050000,4.460717,13.122634,3.236575,5.339972,2.906671,-7.423864,0.705251
0.050000,4.664960,13.304463,3.510028,5.469074,2.582039,-6.492645,0.748755
0.050000,4.865651,13.498615,3.789263,5.584686,2.312223,-5.396315,0.788037
0.050000,5.062666,13.703821,4.073735,5.689443,2.095152,-4.341434,0.822554
0.050000,5.256239,13.918782,4.363008,5.785463,1.920394,-3.495150,0.851870
0.050000,5.446915,14.142175,4.656711,5.874061,1.771953,-2.968820,0.875613
0.050000,5.635484,14.372641,4.954491,5.955598,1.630747,-2.824125,0.893432
0.050000,5.822942,14.608742,5.255961,6.029407,1.476191,-3.091127,0.904940
0.050000,6.008908,14.846919,5.558139,6.043561,0.283072,-23.862369,0.909655
0.050000,6.190741,15.080374,5.854052,5.918255,-2.506124,-55.783932,0.907281
0.050000,6.366031,15.302741,6.137202,5.662993,-5.105239,-51.982296,0.897996
0.050000,6.534251,15.510731,6.404704,5.350055,-6.258752,-23.070261,0.882241
0.050000,6.696023,15.703241,6.656161,5.029131,-6.418486,-3.194678,0.860440
0.050000,6.852102,15.879949,6.891929,4.715358,-6.275451,2.860704,0.832953
0.050000,7.002947,16.040694,7.112367,4.408769,-6.131780,2.873431,0.800136
0.050000,7.148781,16.185507,7.317886,4.110381,-5.967773,3.280133,0.762402
0.050000,7.289656,16.314638,7.508990,3.822072,-5.766167,4.032114,0.720252
0.050000,7.425520,16.428578,7.686308,3.546354,-5.514366,5.036026,0.674317
0.050000,7.556279,16.528059,7.850607,3.285992,-5.207240,6.142524,0.625364
0.050000,7.681851,16.614020,8.002783,3.043516,-4.849523,7.154337,0.574285
0.050000,7.802192,16.687563,8.143818,2.820690,-4.456510,7.860253,0.522064
0.050000,7.917311,16.749882,8.274722,2.618087,-4.052064,8.088917,0.469710
0.050000,8.027243,16.802195,8.396466,2.434888,-3.663992,7.761449,0.418193
0.050000,8.132026,16.845683,8.509915,2.268980,-3.318153,6.916772,0.368378
0.050000,8.231663,16.881459,8.615781,2.117311,-3.033373,5.695604,0.320977
0.050000,8.326105,16.910543,8.714599,1.976372,-2.818794,4.291592,0.276525
0.050000,8.415238,16.933865,8.806733,1.842667,-2.674086,2.894150,0.235386
0.050000,8.498892,16.952266,8.892387,1.713080,-2.591748,1.646761,0.197764
0.050000,8.576855,16.966507,8.971640,1.585070,-2.560206,0.630835,0.163739
0.050000,8.648891,16.977280,9.044477,1.456738,-2.566640,-0.128679,0.133296
0.050000,8.714755,16.985206,9.110817,1.326789,-2.598970,-0.646597,0.106353
0.050000,8.774211,16.990842,9.170539,1.194443,-2.646931,-0.959215,0.082791
0.050000,8.827037,16.994683,9.223505,1.059321,-2.702427,-1.109933,0.062471
0.050000,8.873038,16.997162,9.269572,0.921349,-2.759438,-1.140211,0.045251
0.050000,8.912043,16.998648,9.308606,0.780664,-2.813698,-1.085202,0.030995
0.050000,8.943910,16.999454,9.340483,0.637549,-2.862316,-0.972358,0.019582
0.050000,8.968526,16.999829,9.365102,0.492378,-2.903412,-0.821928,0.010909
0.050000,8.985805,16.999965,9.382381,0.345587,-2.935816,-0.648081,0.004895
0.050000,8.995687,16.999997,9.392263,0.197645,-2.958835,-0.460369,0.001483
0.050000,8.999387,17.000000,9.395963,0.073985,-2.473211,9.712483,0.000211
0.050000,9.000000,17.000000,9.396576,0.012265,-1.234389,24.776440,6.283185
0.050000,9.000000,17.000000,9.396576,0.000000,-0.245309,19.781594,6.283185
