dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.501780,14.000001,0.002500,0.099988,1.999751,39.995029,0.000612
0.050000,1.509217,14.000015,0.009936,0.148734,0.974927,-20.496489,0.003174
0.050000,1.524065,14.000100,0.024785,0.296969,2.964695,39.795352,0.008323
0.050000,1.546274,14.000371,0.046995,0.444212,2.944859,-0.396717,0.016108
0.050000,1.575766,14.001001,0.076495,0.589985,2.915477,-0.587627,0.026604
0.050000,1.612438,14.002220,0.113187,0.733842,2.877124,-0.767063,0.039905
0.050000,1.656157,14.004319,0.156956,0.875381,2.830787,-0.926747,0.056128
0.050000,1.706761,14.007650,0.207670,1.014285,2.778076,-1.054210,0.075405
0.050000,1.764064,14.012624,0.265188,1.150360,2.721507,-1.131382,0.097875
0.050000,1.827851,14.019715,0.329368,1.283602,2.664842,-1.133296,0.123682
0.050000,1.897890,14.029460,0.400082,1.414276,2.613476,-1.027325,0.152954
0.050000,1.973938,14.042459,0.477233,1.543016,2.574788,-0.773761,0.185786
0.050000,2.055753,14.059379,0.560779,1.670932,2.558336,-0.329045,0.222220
0.050000,2.143113,14.080958,0.650765,1.799716,2.575681,0.346901,0.262212
0.050000,2.235832,14.108011,0.747350,1.931696,2.639584,1.278055,0.305602
0.050000,2.333777,14.141435,0.850841,2.069812,2.762329,2.454914,0.352083
0.050000,2.436875,14.182223,0.961714,2.217469,2.953146,3.816330,0.401179
0.050000,2.545116,14.231455,1.080625,2.378224,3.215092,5.238923,0.452233
0.050000,2.658528,14.290296,1.208392,2.555341,3.542342,6.544988,0.504430
0.050000,2.777151,14.359956,1.345957,2.751298,3.919143,7.536028,0.556825
0.050000,2.901007,14.441644,1.494326,2.967373,4.321491,8.046955,0.608415
0.050000,3.030070,14.536502,1.654498,3.203450,4.721536,8.000903,0.658200
0.050000,3.164268,14.645532,1.827404,3.458122,5.093451,7.438299,0.705251
0.050000,3.303506,14.769538,2.013857,3.729057,5.418692,6.504818,0.748755
0.050000,3.447711,14.909092,2.214532,4.013504,5.688948,5.405120,0.788037
0.050000,3.596894,15.064524,2.429973,4.308818,5.906270,4.346438,0.822554
0.050000,3.751213,15.235936,2.660617,4.612872,6.081091,3.496427,0.851870
0.050000,3.911042,15.423227,2.906834,4.924343,6.229426,2.966693,0.875613
0.050000,4.077029,15.626124,3.168977,5.242862,6.370367,2.818836,0.893432
0.050000,4.250166,15.844207,3.447432,5.569087,6.524496,3.082579,0.904940
0.050000,4.430323,16.074955,3.740179,5.854949,5.717240,-16.145120,0.909655
0.050000,4.615077,16.312153,4.040840,6.013219,3.165416,-51.036478,0.907281
0.050000,4.801871,16.549098,4.342560,6.034392,0.423457,-54.839184,0.897996
0.050000,4.989921,16.781575,4.641573,5.980261,-1.082627,-30.121693,0.882241
0.050000,5.179763,17.007448,4.936629,5.901136,-1.582503,-9.997515,0.860440
0.050000,5.372261,17.225337,5.227372,5.814843,-1.725855,-2.867036,0.832953
0.050000,5.568045,17.433912,5.513439,5.721359,-1.869686,-2.876624,0.800136
0.050000,5.767460,17.631865,5.794423,5.619674,-2.033687,-3.280026,0.762402
0.050000,5.970507,17.817916,6.069819,5.507919,-2.235107,-4.028382,0.720252
0.050000,6.176791,17.990845,6.338999,5.383592,-2.486530,-5.028476,0.674317
0.050000,6.385495,18.149559,6.601196,5.243937,-2.793100,-6.131396,0.625364
0.050000,6.595381,18.293181,6.855517,5.086431,-3.150125,-7.140507,0.574285
0.050000,6.804852,18.421146,7.100983,4.909312,-3.542387,-7.845238,0.522064
0.050000,7.012055,18.533281,7.336583,4.712006,-3.946117,-8.074597,0.469710
0.050000,7.215023,18.629843,7.561349,4.495326,-4.333598,-7.749606,0.418193
0.050000,7.411820,18.711508,7.774418,4.261375,-4.679029,-6.908620,0.368378
0.050000,7.600676,18.779315,7.975078,4.013194,-4.963606,-5.691543,0.320977
0.050000,7.780076,18.834563,8.162792,3.754286,-5.178168,-4.291249,0.276525
0.050000,7.948801,18.878714,8.337199,3.488136,-5.323001,-2.896659,0.235386
0.050000,8.105937,18.913282,8.498092,3.217858,-5.405554,-1.651065,0.197764
0.050000,8.250838,18.939757,8.645391,2.945990,-5.437354,-0.636000,0.163739
0.050000,8.383088,18.959539,8.779113,2.674431,-5.431185,0.123392,0.133296
0.050000,8.502450,18.973906,8.899337,2.404476,-5.399102,0.641654,0.106353
0.050000,8.608819,18.983992,9.006182,2.136908,-5.351359,0.954865,0.082791
0.050000,8.702177,18.990782,9.099787,1.872106,-5.296046,1.106256,0.062471
0.050000,8.782568,18.995114,9.180295,1.610147,-5.239184,1.137231,0.045251
0.050000,8.850064,18.997688,9.247839,1.350895,-5.185043,1.082827,0.030995
0.050000,8.904750,18.999070,9.302543,1.094069,-5.136517,0.970530,0.019582
0.050000,8.946709,18.999710,9.344508,0.839294,-5.095489,0.820549,0.010909
0.050000,8.976015,18.999941,9.373815,0.586138,-5.063134,0.647107,0.004895
0.050000,8.992722,18.999995,9.390521,0.334130,-5.040148,0.459717,0.001483
0.050000,8.998965,19.000000,9.396765,0.124872,-4.185166,17.099630,0.000211
0.050000,9.000000,19.000000,9.397799,0.020691,-2.083618,42.030973,6.283185
0.050000,9.000000,19.000000,9.397799,0.000000,-0.413819,33.395977,6.283185
